rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat
1,6.34,,Christian COLEMAN,06 MAR 1996,USA,1,"Albuquerque, NM (USA) (i)",18 FEB 2018,1304,60-metres,sprints,male,senior
2,6.37,,Christian COLEMAN,06 MAR 1996,USA,1,"Clemson, SC (USA) (i)",19 JAN 2018,1286,60-metres,sprints,male,senior
2,6.37,,Christian COLEMAN,06 MAR 1996,USA,1,"Arena Birmingham, Birmingham (GBR) (i)",03 MAR 2018,1286,60-metres,sprints,male,senior
4,6.39,,Maurice GREENE,23 JUL 1974,USA,1,Madrid (ESP) (i),03 FEB 1998,1274,60-metres,sprints,male,senior
4,6.39,,Maurice GREENE,23 JUL 1974,USA,1sf,"Atlanta, GA (USA) (i)",03 MAR 2001,1274,60-metres,sprints,male,senior
6,6.40,,Maurice GREENE,23 JUL 1974,USA,sf,"Atlanta, GA (USA) (i)",27 FEB 1999,1268,60-metres,sprints,male,senior
6,6.40,,Ronnie BAKER,15 OCT 1993,USA,2,"Albuquerque, NM (USA) (i)",18 FEB 2018,1268,60-metres,sprints,male,senior
8,6.41,,Andre CASON,20 JAN 1969,USA,1,Madrid (ESP) (i),14 FEB 1992,1262,60-metres,sprints,male,senior
8,6.41,,Maurice GREENE,23 JUL 1974,USA,1,Stuttgart (GER) (i),01 FEB 1998,1262,60-metres,sprints,male,senior
8,6.41,,Lamont Marcell JACOBS,26 SEP 1994,ITA,1,"Štark Arena, Beograd (SRB) (i)",19 MAR 2022,1262,60-metres,sprints,male,senior
8,6.41,,Christian COLEMAN,06 MAR 1996,USA,2,"Štark Arena, Beograd (SRB) (i)",19 MAR 2022,1262,60-metres,sprints,male,senior
8,6.41,,Christian COLEMAN,06 MAR 1996,USA,1,"Glasgow Arena, Glasgow (GBR) (i)",01 MAR 2024,1262,60-metres,sprints,male,senior
13,6.42,,Maurice GREENE,23 JUL 1974,USA,1,"Green Dome, Maebashi (JPN) (i)",07 MAR 1999,1256,60-metres,sprints,male,senior
13,6.42,,Dwain CHAMBERS,05 APR 1978,GBR,1sf2,"Oval Lingotto, Torino (ITA) (i)",07 MAR 2009,1256,60-metres,sprints,male,senior
13,6.42,,Christian COLEMAN,06 MAR 1996,USA,1sf2,"Albuquerque, NM (USA) (i)",18 FEB 2018,1256,60-metres,sprints,male,senior
13,6.42,,Bingtian SU,29 AUG 1989,CHN,2,"Arena Birmingham, Birmingham (GBR) (i)",03 MAR 2018,1256,60-metres,sprints,male,senior
13,6.42,,Trayvon BROMELL,10 JUL 1995,USA,1,"Clemson Indoor Track & Field Complex, Clemson, SC (USA) (i)",10 FEB 2023,1256,60-metres,sprints,male,senior
13,6.42,+0.9,Ackeem BLAKE,21 JAN 2002,JAM,1,"National Stadium, Kingston (JAM)",25 FEB 2023,1256,60-metres,sprints,male,senior
19,6.43,,Maurice GREENE,23 JUL 1974,USA,h,Stuttgart (GER) (i),01 FEB 1998,1250,60-metres,sprints,male,senior
19,6.43,,Tim HARDEN,27 JAN 1974,USA,2,"Green Dome, Maebashi (JPN) (i)",07 MAR 1999,1250,60-metres,sprints,male,senior
