rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat,normalized_discipline,track_field,mark_numeric,venue_country,age_at_event,season
55,1:31.06,,United States,,USA,1h1,"T. Robinson Stadium, Nassau (BAH)",2017-04-22,1162,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,91.06,BAH,,2017
56,1:31.11,,Arkansas,,INT,2f2,"Mike A. Myers Stadium, Austin, TX (USA)",2024-03-30,1161,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,91.11,USA,,2024
57,1:31.13,,Adidas,,INT,2f1,"Philadelphia, PA (USA)",1999-04-24,1161,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,91.13,USA,,1999
58,1:31.16,,Germany,,GER,2h1,"T. Robinson Stadium, Nassau (BAH)",2017-04-22,1160,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,91.16,BAH,,2017
59,1:31.17,,Texas A&M,,USA,2f1,"Philadelphia, PA (USA)",2015-04-25,1160,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,91.17,USA,,2015
59,1:31.17,,United States,,USA,1,"Philadelphia, PA (USA)",2016-04-30,1160,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,91.17,USA,,2016
61,1:31.19,,Auburn,,INT,2f1,"Philadelphia, PA (USA)",2009-04-25,1160,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,91.19,USA,,2009
62,1:31.21,,Texas A&M,,INT,1,"Philadelphia, PA (USA)",2008-04-26,1159,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,91.21000000000001,USA,,2008
63,1:31.24,,Louisiana State,,INT,1f1,"Philadelphia, PA (USA)",2001-04-28,1159,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,91.24,USA,,2001
64,1:31.25,,Oregon B,,USA,1f2,"Gainesville, FL (USA)",2017-04-01,1159,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,91.25,USA,,2017
65,1:31.28,,Texas A&M,,USA,3f2,"Austin, TX (USA)",2012-03-31,1158,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,91.28,USA,,2012
66,1:31.29,,Jamaica,,JAM,1h2,"T. Robinson Stadium, Nassau (BAH)",2017-04-22,1158,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,91.28999999999999,BAH,,2017
67,1:31.30,,Louisiana State,,USA,1f2,"Austin, TX (USA)",2016-04-02,1158,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,91.3,USA,,2016
68,1:31.31,,Bahamas,,BAH,4,"T. Robinson Stadium, Nassau (BAH)",2014-05-25,1158,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,91.31,BAH,,2014
69,1:31.32,,Empire Athletics,,USA,1f2,"Mike A. Myers Stadium, Austin, TX (USA)",2025-03-29,1157,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,91.32,USA,,2025
70,1:31.34,,Jamaica,,JAM,2,"Philadelphia, PA (USA)",2016-04-30,1157,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,91.34,USA,,2016
71,1:31.41,,Texas A&M,,USA,1f2,"Austin, TX (USA)",2010-04-03,1156,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,91.41,USA,,2010
71,1:31.41,,USC,,INT,1f2,"Gainesville, FL (USA)",2015-04-04,1156,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,91.41,USA,,2015
73,1:31.45,,Pure Athletics,,USA,2f1,"Gainesville, FL (USA)",2014-04-05,1155,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,91.45,USA,,2014
74,1:31.49,,Star Athletics,,USA,2f1,"Gainesville, FL (USA)",2016-04-02,1154,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,91.49,USA,,2016
74,1:31.49,,Russia,,RUS,1,Portsmouth (GBR),1993-06-05,1154,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,91.49,GBR,,1993
76,1:31.51,,Tennessee,,INT,1f2,"Gainesville, FL (USA)",2016-04-02,1154,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,91.51,USA,,2016
77,1:31.56,,South Carolina,,USA,1,"Philadelphia, PA (USA)",2007-04-28,1153,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,91.56,USA,,2007
78,1:31.57,,Great Britain & NI,,GBR,1,London (GBR),1977-08-20,1153,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,91.57,GBR,,1977
78,1:31.57,,Moskva,,URS,2,Moskva (URS),1979-07-29,1153,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,91.57,URS,,1979
78,1:31.57,,USC,,USA,1f1,"Philadelphia, PA (USA)",2005-04-30,1153,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,91.57,USA,,2005
78,1:31.57,,Hurdle Mechanic ' B',,INT,3f1,"Mike A. Myers Stadium, Austin, TX (USA)",2022-03-26,1153,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,91.57,USA,,2022
82,1:31.58,,Louisiana State,,INT,2,"Philadelphia, PA (USA)",2007-04-28,1152,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,91.58,USA,,2007
82,1:31.58,,University of Texas,,USA,1f2,"Austin, TX (USA)",2014-03-29,1152,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,91.58,USA,,2014
84,1:31.59,,Auburn,,INT,2,"Philadelphia, PA (USA)",2010-04-24,1152,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,91.59,USA,,2010
85,1:31.62,,South Carolina,,USA,1f1,"Gainesville, FL (USA)",2004-03-26,1152,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,91.62,USA,,2004
86,1:31.63,,Louisiana State,,INT,1f1,"Austin, TX (USA)",2001-04-07,1151,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,91.63,USA,,2001
87,1:31.64,,South Carolina,,INT,1f1,"Knoxville, TN (USA)",2005-04-15,1151,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,91.64,USA,,2005
88,1:31.69,,Star Athletics,,USA,1,"PVAMU Track Stadium, Prairie View, TX (USA)",2021-03-27,1150,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,91.69,USA,,2021
89,1:31.70,,Louisiana State,,INT,3,"Philadelphia, PA (USA)",2010-04-24,1150,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,91.7,USA,,2010
90,1:31.73,,Jamaica,,JAM,2,"T. Robinson Stadium, Nassau (BAH)",2015-05-02,1149,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,91.73,BAH,,2015
91,1:31.75,,Switzerland,,SUI,5,"T. Robinson Stadium, Nassau (BAH)",2014-05-25,1149,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,91.75,BAH,,2014
92,1:31.77,,Louisiana State,,INT,2,"Philadelphia, PA (USA)",2008-04-26,1149,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,91.77,USA,,2008
92,1:31.77,,Baylor,,INT,2f3,"Mike A. Myers Stadium, Austin, TX (USA)",2023-04-01,1149,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,91.77,USA,,2023
94,1:31.80,,Alabama,,INT,1f3,"Gainesville, FL (USA)",2019-03-30,1148,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,91.8,USA,,2019
95,1:31.82,,Texas A&M,,USA,2f2,"Austin, TX (USA)",2014-03-29,1148,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,91.82,USA,,2014
96,1:31.83,,Tennessee,,INT,1f1,"Gainesville, FL (USA)",2005-03-25,1148,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,91.83,USA,,2005
97,1:31.84,,Tennessee,,INT,1,"Philadelphia, PA (USA)",2016-04-30,1147,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,91.84,USA,,2016
97,1:31.84,,Auburn,,INT,1h1,"Philadelphia, PA (USA)",2011-04-29,1147,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,91.84,USA,,2011
99,1:31.86,,Louisiana State,,INT,1f1,"Philadelphia, PA (USA)",2012-04-28,1147,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,91.86,USA,,2012
100,1:31.88,,Texas A&M,,INT,1f2,"Austin, TX (USA)",2019-03-30,1147,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,91.88,USA,,2019
101,1:31.97,,University of Texas,,USA,1f1,"Austin, TX (USA)",2005-04-09,1145,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,91.97,USA,,2005
102,1:31.98,,Ukraine,,UKR,2,Portsmouth (GBR),1993-06-05,1145,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,91.98,GBR,,1993
102,1:31.98,,United States,,USA,1,"Philadelphia, PA (USA)",2015-04-25,1145,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,91.98,USA,,2015
