Rank,Mark,Wind,Competitor,DOB,Nationality,Position,Venue,Date,Result Score,Discipline,Type,Gender,Age Category,normalized_discpline,track_field,mark_numeric,venue_country_code,age_at_event,season
283,2:13.56,,India U18,,IND,4h2,"Sidi Youssef Ben Ali, Marrakech (MAR)",2005-07-16,,medley-relay,relays,female,u18,medley-relay,track,133.56,MAR,,2005
284,2:13.57,,Switzerland U18,,SUI,8,"Olimpiai Sportpark, Győr (HUN)",2018-07-08,,medley-relay,relays,female,u18,medley-relay,track,133.57,HUN,,2018
284,2:13.57,,PR of China U18,,CHN,4,Tashkent (UZB),2023-04-30,,medley-relay,relays,female,u18,medley-relay,track,133.57,UZB,,2023
286,2:13.59,,"MLADOST I, Zagreb",,CRO,1f2,"Stadion SRC Mladost, Čakovec (CRO)",2024-06-16,,medley-relay,relays,female,u18,medley-relay,track,133.59,CRO,,2024
287,2:13.60,,Slovak Republic U18,,SVK,5h1,Baku (AZE),2019-07-26,,medley-relay,relays,female,u18,medley-relay,track,133.6,AZE,,2019
288,2:13.63,,Bahamas U18,,BAH,5h3,Donetsk (UKR),2013-07-13,,medley-relay,relays,female,u18,medley-relay,track,133.63,UKR,,2013
289,2:13.64,,Ireland U18,,IRL,4h3,"Olimpiai Sportpark, Győr (HUN)",2018-07-07,,medley-relay,relays,female,u18,medley-relay,track,133.64,HUN,,2018
289,2:13.64,,Czech Republic U18,,CZE,3,Miskolc (HUN),2017-06-16,,medley-relay,relays,female,u18,medley-relay,track,133.64,HUN,,2017
291,2:13.66,,Hungary U18,,HUN,2h3,"Štadión SNP, Banská Bystrica (SVK)",2022-07-29,,medley-relay,relays,female,u18,medley-relay,track,133.66,SVK,,2022
292,2:13.68,,Serbia and Montenegro U18,,SCG,4h3,"Sidi Youssef Ben Ali, Marrakech (MAR)",2005-07-16,,medley-relay,relays,female,u18,medley-relay,track,133.68,MAR,,2005
293,2:13.69,,Hungary U18,,HUN,8f1,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",1999-07-18,,medley-relay,relays,female,u18,medley-relay,track,133.69,POL,,1999
294,2:13.71,,Slovak Republic U18,,SVK,2,Trnava (SVK),2015-06-06,,medley-relay,relays,female,u18,medley-relay,track,133.71,SVK,,2015
295,2:13.75,,Sweden U18,,SWE,4h2,"Olimpiai Sportpark, Győr (HUN)",2018-07-07,,medley-relay,relays,female,u18,medley-relay,track,133.75,HUN,,2018
296,2:13.81,,Brazil U18,,BRA,2h2,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",1999-07-17,,medley-relay,relays,female,u18,medley-relay,track,133.81,POL,,1999
297,2:13.85,,Botswana U18,,BOT,6h1,Donetsk (UKR),2013-07-13,,medley-relay,relays,female,u18,medley-relay,track,133.85,UKR,,2013
298,2:13.88,,Kirovsk Region U18,,RUS,3,Chelyabinsk (RUS),2013-06-23,,medley-relay,relays,female,u18,medley-relay,track,133.88,RUS,,2013
299,2:13.90,,Enka Spor Istanbul U18,,TUR,1,Mersin (TUR),2021-08-27,,medley-relay,relays,female,u18,medley-relay,track,133.9,TUR,,2021
300,2:13.96,,Oceania U18,,INT,4,Singapore (SGP),2010-08-23,,medley-relay,relays,female,u18,medley-relay,track,133.96,SGP,,2010
300,2:13.96,,Slovenia U18,,SLO,2h3,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",1999-07-17,,medley-relay,relays,female,u18,medley-relay,track,133.96,POL,,1999
302,2:13.99,,France U18,,FRA,3h1,"New District Stadium, Tbilisi (GEO)",2016-07-16,,medley-relay,relays,female,u18,medley-relay,track,133.99,GEO,,2016
303,2:14.06,,Finland U18,,FIN,5h2,"Olimpiai Sportpark, Győr (HUN)",2018-07-07,,medley-relay,relays,female,u18,medley-relay,track,134.06,HUN,,2018
303,2:14.06,,Denmark U18,,DEN,6h1,"Atletski stadion Poljane, Maribor (SLO)",2023-07-28,,medley-relay,relays,female,u18,medley-relay,track,134.06,SLO,,2023
305,2:14.09,,Slovenia U18,,SLO,6h3,Donetsk (UKR),2013-07-13,,medley-relay,relays,female,u18,medley-relay,track,134.09,UKR,,2013
305,2:14.09,,Lódzkie U18,,POL,1f1,"Akademicki Związek Sportowy, Łódź (POL)",2020-10-03,,medley-relay,relays,female,u18,medley-relay,track,134.09,POL,,2020
307,2:14.10,,Switzerland U18,,SUI,4h2,"Givat Ram Stadium, Jerusalem (ISR)",2022-07-06,,medley-relay,relays,female,u18,medley-relay,track,134.1,ISR,,2022
308,2:14.12,,Romania U18,,ROU,1h1,"Štadión SNP, Banská Bystrica (SVK)",2022-07-29,,medley-relay,relays,female,u18,medley-relay,track,134.12,SVK,,2022
309,2:14.13,,Lódzkie U18,,POL,1,"Stadion 650-lecia, Słupsk (POL)",2023-05-13,,medley-relay,relays,female,u18,medley-relay,track,134.13,POL,,2023
310,2:14.14,,Hubei Province Wuhan City Sports School Youth Sports Club,,CHN,3,"Shanxi Sports Center Stadium, Taiyuan (CHN)",2019-08-16,,medley-relay,relays,female,u18,medley-relay,track,134.14,CHN,,2019
311,2:14.17,,Czech Republic U18,,CZE,3h2,"New District Stadium, Tbilisi (GEO)",2016-07-16,,medley-relay,relays,female,u18,medley-relay,track,134.17,GEO,,2016
