Rank,Mark,Wind,Competitor,DOB,Nationality,Position,Venue,Date,Result Score,Discipline,Type,Gender,Age Category,normalized_discpline,track_field,mark_numeric,venue_country_code,age_at_event,season
52,2:08.66,,Russia U18,,RUS,1h1,Lille (FRA),2011-07-09,,medley-relay,relays,female,u18,medley-relay,track,128.66,FRA,,2011
52,2:08.66,,Ukraine U18,,UKR,3h3,Banská Bystrica (SVK),2024-07-20,,medley-relay,relays,female,u18,medley-relay,track,128.66,SVK,,2024
54,2:08.68,,Poland U18,,POL,3h2,Lille (FRA),2011-07-09,,medley-relay,relays,female,u18,medley-relay,track,128.68,FRA,,2011
55,2:08.80,,British Virgin Islands U18,,IVB,2h1,Donetsk (UKR),2013-07-13,,medley-relay,relays,female,u18,medley-relay,track,128.8,UKR,,2013
55,2:08.80,,Spain U18,,ESP,3f1,"Givat Ram Stadium, Jerusalem (ISR)",2022-07-07,,medley-relay,relays,female,u18,medley-relay,track,128.8,ISR,,2022
57,2:08.82,,Czech Republic U18,,CZE,1h2,"Atletski stadion Poljane, Maribor (SLO)",2023-07-28,,medley-relay,relays,female,u18,medley-relay,track,128.82,SLO,,2023
57,2:08.82,,Hungary U18,,HUN,4h3,Banská Bystrica (SVK),2024-07-20,,medley-relay,relays,female,u18,medley-relay,track,128.82,SVK,,2024
59,2:08.89,,Spain U18,,ESP,1h3,Baku (AZE),2019-07-26,,medley-relay,relays,female,u18,medley-relay,track,128.89,AZE,,2019
60,2:08.97,,Canada U18,,CAN,2h1,Lille (FRA),2011-07-09,,medley-relay,relays,female,u18,medley-relay,track,128.97,FRA,,2011
61,2:08.99,,Italy U18,,ITA,3,"New District Stadium, Tbilisi (GEO)",2016-07-17,,medley-relay,relays,female,u18,medley-relay,track,128.99,GEO,,2016
62,2:09.03,,Canada U18,,CAN,4f1,Sherbrooke (CAN),2003-07-13,,medley-relay,relays,female,u18,medley-relay,track,129.03,CAN,,2003
63,2:09.05,,Poland U18,,POL,4f1,"Sidi Youssef Ben Ali, Marrakech (MAR)",2005-07-17,,medley-relay,relays,female,u18,medley-relay,track,129.05,MAR,,2005
64,2:09.06,,Estonia U18,,EST,4,"Atletski stadion Poljane, Maribor (SLO)",2023-07-29,,medley-relay,relays,female,u18,medley-relay,track,129.06,SLO,,2023
65,2:09.08,,Canada U18,,CAN,3f1,Ostrava (CZE),2007-07-15,,medley-relay,relays,female,u18,medley-relay,track,129.08,CZE,,2007
65,2:09.08,,Australia U18,,AUS,2h2,Ostrava (CZE),2007-07-14,,medley-relay,relays,female,u18,medley-relay,track,129.08,CZE,,2007
67,2:09.12,,Czech Republic U18,,CZE,3h1,Donetsk (UKR),2013-07-13,,medley-relay,relays,female,u18,medley-relay,track,129.12,UKR,,2013
68,2:09.13,,Brazil U18,,BRA,1h2,"Sidi Youssef Ben Ali, Marrakech (MAR)",2005-07-16,,medley-relay,relays,female,u18,medley-relay,track,129.13,MAR,,2005
69,2:09.15,,Switzerland U18,,SUI,1h2,Banská Bystrica (SVK),2024-07-20,,medley-relay,relays,female,u18,medley-relay,track,129.15,SVK,,2024
70,2:09.16,,Greece U18,,GRE,2,Baku (AZE),2019-07-27,,medley-relay,relays,female,u18,medley-relay,track,129.16,AZE,,2019
71,2:09.19,,Poland U18,,POL,2f1,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",1999-07-18,,medley-relay,relays,female,u18,medley-relay,track,129.19,POL,,1999
72,2:09.22,,Hungary U18,,HUN,2f1,"Bressanone, Trentino-Alto Adige (ITA)",2009-07-12,,medley-relay,relays,female,u18,medley-relay,track,129.22,ITA,,2009
73,2:09.24,,Canada U18,,CAN,1h1,Sherbrooke (CAN),2003-07-12,,medley-relay,relays,female,u18,medley-relay,track,129.24,CAN,,2003
74,2:09.25,,Romania U18,,ROU,3f1,"Bressanone, Trentino-Alto Adige (ITA)",2009-07-12,,medley-relay,relays,female,u18,medley-relay,track,129.25,ITA,,2009
75,2:09.27,,Canada U18,,CAN,1h1,"Bressanone, Trentino-Alto Adige (ITA)",2009-07-11,,medley-relay,relays,female,u18,medley-relay,track,129.27,ITA,,2009
76,2:09.28,,Norway U18,,NOR,3h3,"Atletski stadion Poljane, Maribor (SLO)",2023-07-28,,medley-relay,relays,female,u18,medley-relay,track,129.28,SLO,,2023
77,2:09.32,,Hungary U18,,HUN,6,Donetsk (UKR),2013-07-14,,medley-relay,relays,female,u18,medley-relay,track,129.32,UKR,,2013
77,2:09.32,,Finland U18,,FIN,2h3,"Givat Ram Stadium, Jerusalem (ISR)",2022-07-06,,medley-relay,relays,female,u18,medley-relay,track,129.32,ISR,,2022
79,2:09.33,,Bahamas U18,,BAH,4f1,"Bressanone, Trentino-Alto Adige (ITA)",2009-07-12,,medley-relay,relays,female,u18,medley-relay,track,129.33,ITA,,2009
79,2:09.33,,Italy U18,,ITA,2h2,Banská Bystrica (SVK),2024-07-20,,medley-relay,relays,female,u18,medley-relay,track,129.33,SVK,,2024
81,2:09.36,,United States U18,,USA,1h2,Debrecen (HUN),2001-07-14,,medley-relay,relays,female,u18,medley-relay,track,129.36,HUN,,2001
82,2:09.39,,United States U18,,USA,1h3,Lille (FRA),2011-07-09,,medley-relay,relays,female,u18,medley-relay,track,129.39,FRA,,2011
83,2:09.41,,Czech Republic U18,,CZE,2,"Olimpiai Sportpark, Győr (HUN)",2018-07-08,,medley-relay,relays,female,u18,medley-relay,track,129.41,HUN,,2018
84,2:09.42,,Russia U18,,RUS,5f1,"Sidi Youssef Ben Ali, Marrakech (MAR)",2005-07-17,,medley-relay,relays,female,u18,medley-relay,track,129.42,MAR,,2005
85,2:09.43,,Greece U18,,GRE,2h3,Baku (AZE),2019-07-26,,medley-relay,relays,female,u18,medley-relay,track,129.43,AZE,,2019
86,2:09.61,,Belarus U18,,BLR,4,"New District Stadium, Tbilisi (GEO)",2016-07-17,,medley-relay,relays,female,u18,medley-relay,track,129.61,GEO,,2016
86,2:09.61,,Hungary U18,,HUN,1,Hradec Králové (CZE),2013-06-08,,medley-relay,relays,female,u18,medley-relay,track,129.61,CZE,,2013
88,2:09.68,,Hungary U18,,HUN,2h1,"Bressanone, Trentino-Alto Adige (ITA)",2009-07-11,,medley-relay,relays,female,u18,medley-relay,track,129.68,ITA,,2009
89,2:09.70,,Romania U18,,ROU,3,Debrecen (HUN),2001-07-15,,medley-relay,relays,female,u18,medley-relay,track,129.7,HUN,,2001
90,2:09.72,,Japan U18,,JPN,2h1,"Sidi Youssef Ben Ali, Marrakech (MAR)",2005-07-16,,medley-relay,relays,female,u18,medley-relay,track,129.72,MAR,,2005
91,2:09.73,,France U18,,FRA,1h1,Baku (AZE),2019-07-26,,medley-relay,relays,female,u18,medley-relay,track,129.73,AZE,,2019
92,2:09.76,,Norway U18,,NOR,5,"Atletski stadion Poljane, Maribor (SLO)",2023-07-29,,medley-relay,relays,female,u18,medley-relay,track,129.76,SLO,,2023
93,2:09.79,,Jamaica U18,,JAM,5f1,"Bressanone, Trentino-Alto Adige (ITA)",2009-07-12,,medley-relay,relays,female,u18,medley-relay,track,129.79,ITA,,2009
94,2:09.80,,Norway U18,,NOR,3h2,Banská Bystrica (SVK),2024-07-20,,medley-relay,relays,female,u18,medley-relay,track,129.8,SVK,,2024
95,2:09.84,,Trinidad and Tobago,,TTO,2h1,Sherbrooke (CAN),2003-07-12,,medley-relay,relays,female,u18,medley-relay,track,129.84,CAN,,2003
96,2:09.87,,Germany U18,,GER,2h2,"Atletski stadion Poljane, Maribor (SLO)",2023-07-28,,medley-relay,relays,female,u18,medley-relay,track,129.87,SLO,,2023
97,2:09.90,,PR of China U18,,CHN,2h3,Donetsk (UKR),2013-07-13,,medley-relay,relays,female,u18,medley-relay,track,129.9,UKR,,2013
98,2:09.96,,Australia U18,,AUS,4f1,Ostrava (CZE),2007-07-15,,medley-relay,relays,female,u18,medley-relay,track,129.96,CZE,,2007
99,2:09.99,,Romania U18,,ROU,3,"Olimpiai Sportpark, Győr (HUN)",2018-07-08,,medley-relay,relays,female,u18,medley-relay,track,129.99,HUN,,2018
100,2:10.01,,Poland U18,,POL,6f1,"Bressanone, Trentino-Alto Adige (ITA)",2009-07-12,,medley-relay,relays,female,u18,medley-relay,track,130.01,ITA,,2009
101,2:10.04,,Poland U18,,POL,2h2,"Sidi Youssef Ben Ali, Marrakech (MAR)",2005-07-16,,medley-relay,relays,female,u18,medley-relay,track,130.04,MAR,,2005
101,2:10.04,,Estonia U18,,EST,4h3,"Atletski stadion Poljane, Maribor (SLO)",2023-07-28,,medley-relay,relays,female,u18,medley-relay,track,130.04,SLO,,2023
103,2:10.07,,Germany U18,,GER,6,"Atletski stadion Poljane, Maribor (SLO)",2023-07-29,,medley-relay,relays,female,u18,medley-relay,track,130.07,SLO,,2023
104,2:10.08,,Canada U18,,CAN,7f1,"Bressanone, Trentino-Alto Adige (ITA)",2009-07-12,,medley-relay,relays,female,u18,medley-relay,track,130.08,ITA,,2009
105,2:10.12,,Bahamas U18,,BAH,1h3,"Bressanone, Trentino-Alto Adige (ITA)",2009-07-11,,medley-relay,relays,female,u18,medley-relay,track,130.12,ITA,,2009
106,2:10.13,,Canada U18,,CAN,1h3,Ostrava (CZE),2007-07-14,,medley-relay,relays,female,u18,medley-relay,track,130.13,CZE,,2007
107,2:10.17,,Italy U18,,ITA,2h1,Baku (AZE),2019-07-26,,medley-relay,relays,female,u18,medley-relay,track,130.17,AZE,,2019
107,2:10.17,,Romania U18,,ROU,6,Lille (FRA),2011-07-10,,medley-relay,relays,female,u18,medley-relay,track,130.17,FRA,,2011
109,2:10.18,,India U18,,IND,5f1,Ostrava (CZE),2007-07-15,,medley-relay,relays,female,u18,medley-relay,track,130.18,CZE,,2007
109,2:10.18,,Germany U18,,GER,3h1,Baku (AZE),2019-07-26,,medley-relay,relays,female,u18,medley-relay,track,130.18,AZE,,2019
111,2:10.19,,United States U18,,USA,1h3,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",1999-07-17,,medley-relay,relays,female,u18,medley-relay,track,130.19,POL,,1999
112,2:10.20,,Great Britain & NI U18,,GBR,1h1,Banská Bystrica (SVK),2024-07-20,,medley-relay,relays,female,u18,medley-relay,track,130.2,SVK,,2024
113,2:10.27,,Japan U18,,JPN,8f1,"Bressanone, Trentino-Alto Adige (ITA)",2009-07-12,,medley-relay,relays,female,u18,medley-relay,track,130.27,ITA,,2009
114,2:10.32,,Switzerland U18,,SUI,3,Baku (AZE),2019-07-27,,medley-relay,relays,female,u18,medley-relay,track,130.32,AZE,,2019
115,2:10.33,,Romania U18,,ROU,2h3,Lille (FRA),2011-07-09,,medley-relay,relays,female,u18,medley-relay,track,130.33,FRA,,2011
116,2:10.35,,Poland U18,,POL,7,Lille (FRA),2011-07-10,,medley-relay,relays,female,u18,medley-relay,track,130.35,FRA,,2011
117,2:10.38,,Spain U18,,ESP,1h2,"Givat Ram Stadium, Jerusalem (ISR)",2022-07-06,,medley-relay,relays,female,u18,medley-relay,track,130.38,ISR,,2022
117,2:10.38,,Italy U18,,ITA,4,Baku (AZE),2019-07-27,,medley-relay,relays,female,u18,medley-relay,track,130.38,AZE,,2019
117,2:10.38,,Italy U18,,ITA,1h3,"Olimpiai Sportpark, Győr (HUN)",2018-07-07,,medley-relay,relays,female,u18,medley-relay,track,130.38,HUN,,2018
120,2:10.39,,Czech Republic U18,,CZE,1,Brno (CZE),2016-06-11,,medley-relay,relays,female,u18,medley-relay,track,130.39,CZE,,2016
121,2:10.41,,Czech Republic U18,,CZE,2h2,"Givat Ram Stadium, Jerusalem (ISR)",2022-07-06,,medley-relay,relays,female,u18,medley-relay,track,130.41,ISR,,2022
122,2:10.42,,Romania U18,,ROU,3h2,"Givat Ram Stadium, Jerusalem (ISR)",2022-07-06,,medley-relay,relays,female,u18,medley-relay,track,130.42,ISR,,2022
123,2:10.45,,Switzerland U18,,SUI,1h2,Baku (AZE),2019-07-26,,medley-relay,relays,female,u18,medley-relay,track,130.45,AZE,,2019
124,2:10.46,,Hungary U18,,HUN,1,"Mestni stadion, Ptuj (SLO)",2023-06-11,,medley-relay,relays,female,u18,medley-relay,track,130.46,SLO,,2023
125,2:10.47,,Poland U18,,POL,1h1,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",1999-07-17,,medley-relay,relays,female,u18,medley-relay,track,130.47,POL,,1999
126,2:10.48,,South Africa U18,,RSA,3h3,Lille (FRA),2011-07-09,,medley-relay,relays,female,u18,medley-relay,track,130.48,FRA,,2011
126,2:10.48,,Romania U18,,ROU,2h2,"Bressanone, Trentino-Alto Adige (ITA)",2009-07-11,,medley-relay,relays,female,u18,medley-relay,track,130.48,ITA,,2009
128,2:10.53,,India U18,,IND,2h3,Ostrava (CZE),2007-07-14,,medley-relay,relays,female,u18,medley-relay,track,130.53,CZE,,2007
129,2:10.54,,Japan U18,,JPN,4h3,Lille (FRA),2011-07-09,,medley-relay,relays,female,u18,medley-relay,track,130.54,FRA,,2011
129,2:10.54,,Ukraine U18,,UKR,1h3,Debrecen (HUN),2001-07-14,,medley-relay,relays,female,u18,medley-relay,track,130.54,HUN,,2001
131,2:10.55,,Czech Republic U18,,CZE,2,"Mestni stadion, Ptuj (SLO)",2023-06-11,,medley-relay,relays,female,u18,medley-relay,track,130.55,SLO,,2023
132,2:10.58,,Barbados U18,,BAR,3h3,Ostrava (CZE),2007-07-14,,medley-relay,relays,female,u18,medley-relay,track,130.58,CZE,,2007
133,2:10.62,,Hungary U18,,HUN,2,Brno (CZE),2016-06-11,,medley-relay,relays,female,u18,medley-relay,track,130.62,CZE,,2016
134,2:10.64,,Italy U18,,ITA,7,Donetsk (UKR),2013-07-14,,medley-relay,relays,female,u18,medley-relay,track,130.64,UKR,,2013
134,2:10.64,,Slovenia U18,,SLO,5,"New District Stadium, Tbilisi (GEO)",2016-07-17,,medley-relay,relays,female,u18,medley-relay,track,130.64,GEO,,2016
136,2:10.65,,Sunshine Youth Sports Club,,CHN,1,"Shanxi Sports Center Stadium, Taiyuan (CHN)",2019-08-16,,medley-relay,relays,female,u18,medley-relay,track,130.65,CHN,,2019
137,2:10.66,,Japan U18,,JPN,6f1,"Sidi Youssef Ben Ali, Marrakech (MAR)",2005-07-17,,medley-relay,relays,female,u18,medley-relay,track,130.66,MAR,,2005
138,2:10.72,,Jamaica U18,,JAM,2h3,"Bressanone, Trentino-Alto Adige (ITA)",2009-07-11,,medley-relay,relays,female,u18,medley-relay,track,130.72,ITA,,2009
138,2:10.72,,Poland U18,,POL,4f1,"Givat Ram Stadium, Jerusalem (ISR)",2022-07-07,,medley-relay,relays,female,u18,medley-relay,track,130.72,ISR,,2022
140,2:10.74,,Spain U18,,ESP,7,"Atletski stadion Poljane, Maribor (SLO)",2023-07-29,,medley-relay,relays,female,u18,medley-relay,track,130.74,SLO,,2023
140,2:10.74,,Spain U18,,ESP,1h1,"Atletski stadion Poljane, Maribor (SLO)",2023-07-28,,medley-relay,relays,female,u18,medley-relay,track,130.74,SLO,,2023
142,2:10.75,,Norway U18,,NOR,3h3,Baku (AZE),2019-07-26,,medley-relay,relays,female,u18,medley-relay,track,130.75,AZE,,2019
143,2:10.76,,South Africa U18,,RSA,8,Lille (FRA),2011-07-10,,medley-relay,relays,female,u18,medley-relay,track,130.76,FRA,,2011
144,2:10.79,,Jamaica U18,,JAM,3h1,Sherbrooke (CAN),2003-07-12,,medley-relay,relays,female,u18,medley-relay,track,130.79,CAN,,2003
144,2:10.79,,Brazil U18,,BRA,4h2,Lille (FRA),2011-07-09,,medley-relay,relays,female,u18,medley-relay,track,130.79,FRA,,2011
146,2:10.80,,Hungary U18,,HUN,2,"Štadión PFK, Piešťany (SVK)",2024-07-05,,medley-relay,relays,female,u18,medley-relay,track,130.8,SVK,,2024
147,2:10.83,,Italy U18,,ITA,3h1,Lille (FRA),2011-07-09,,medley-relay,relays,female,u18,medley-relay,track,130.83,FRA,,2011
148,2:10.85,,Czech Republic U18,,CZE,1,Budapest (HUN),2014-07-04,,medley-relay,relays,female,u18,medley-relay,track,130.85,HUN,,2014
148,2:10.85,,Hungary U18,,HUN,3h3,Donetsk (UKR),2013-07-13,,medley-relay,relays,female,u18,medley-relay,track,130.85,UKR,,2013
148,2:10.85,,Portugal U18,,POR,4,"Olimpiai Sportpark, Győr (HUN)",2018-07-08,,medley-relay,relays,female,u18,medley-relay,track,130.85,HUN,,2018
151,2:10.93,,Romania U18,,ROU,7f1,"Sidi Youssef Ben Ali, Marrakech (MAR)",2005-07-17,,medley-relay,relays,female,u18,medley-relay,track,130.93,MAR,,2005
152,2:10.94,,Romania U18,,ROU,1h1,Debrecen (HUN),2001-07-14,,medley-relay,relays,female,u18,medley-relay,track,130.94,HUN,,2001
153,2:10.97,,Slovenia U18,,SLO,5f1,"Givat Ram Stadium, Jerusalem (ISR)",2022-07-07,,medley-relay,relays,female,u18,medley-relay,track,130.97,ISR,,2022
154,2:11.02,,Portugal U18,,POR,1h1,"Olimpiai Sportpark, Győr (HUN)",2018-07-07,,medley-relay,relays,female,u18,medley-relay,track,131.02,HUN,,2018
155,2:11.04,,Ukraine U18,,UKR,5,"Olimpiai Sportpark, Győr (HUN)",2018-07-08,,medley-relay,relays,female,u18,medley-relay,track,131.04,HUN,,2018
155,2:11.04,,Poland U18,,POL,1h1,"Givat Ram Stadium, Jerusalem (ISR)",2022-07-06,,medley-relay,relays,female,u18,medley-relay,track,131.04,ISR,,2022
157,2:11.05,,Jamaica U18,,JAM,1h4,Debrecen (HUN),2001-07-14,,medley-relay,relays,female,u18,medley-relay,track,131.05,HUN,,2001
158,2:11.07,,Belarus U18,,BLR,1h3,"New District Stadium, Tbilisi (GEO)",2016-07-16,,medley-relay,relays,female,u18,medley-relay,track,131.07,GEO,,2016
159,2:11.10,,Bahamas U18,,BAH,4h1,Lille (FRA),2011-07-09,,medley-relay,relays,female,u18,medley-relay,track,131.1,FRA,,2011
160,2:11.11,,Japan U18,,JPN,3h3,"Bressanone, Trentino-Alto Adige (ITA)",2009-07-11,,medley-relay,relays,female,u18,medley-relay,track,131.11,ITA,,2009
161,2:11.13,,Ukraine U18,,UKR,3f1,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",1999-07-18,,medley-relay,relays,female,u18,medley-relay,track,131.13,POL,,1999
161,2:11.13,,Ukraine U18,,UKR,4,Debrecen (HUN),2001-07-15,,medley-relay,relays,female,u18,medley-relay,track,131.13,HUN,,2001
163,2:11.20,,Brazil U18,,BRA,4h1,Donetsk (UKR),2013-07-13,,medley-relay,relays,female,u18,medley-relay,track,131.2,UKR,,2013
163,2:11.20,,Italy U18,,ITA,2h1,"Givat Ram Stadium, Jerusalem (ISR)",2022-07-06,,medley-relay,relays,female,u18,medley-relay,track,131.2,ISR,,2022
165,2:11.21,,Poland U18,,POL,3h1,"Bressanone, Trentino-Alto Adige (ITA)",2009-07-11,,medley-relay,relays,female,u18,medley-relay,track,131.21,ITA,,2009
165,2:11.21,,Norway U18,,NOR,5,Baku (AZE),2019-07-27,,medley-relay,relays,female,u18,medley-relay,track,131.21,AZE,,2019
165,2:11.21,,India U18,,IND,1,Tashkent (UZB),2023-04-30,,medley-relay,relays,female,u18,medley-relay,track,131.21,UZB,,2023
168,2:11.22,,Spain U18,,ESP,2h1,Banská Bystrica (SVK),2024-07-20,,medley-relay,relays,female,u18,medley-relay,track,131.22,SVK,,2024
168,2:11.22,,Estonia U18,,EST,4h2,Banská Bystrica (SVK),2024-07-20,,medley-relay,relays,female,u18,medley-relay,track,131.22,SVK,,2024
168,2:11.22,,Poland U18,,POL,1h2,"New District Stadium, Tbilisi (GEO)",2016-07-16,,medley-relay,relays,female,u18,medley-relay,track,131.22,GEO,,2016
168,2:11.22,,Switzerland U18,,SUI,2h3,"New District Stadium, Tbilisi (GEO)",2016-07-16,,medley-relay,relays,female,u18,medley-relay,track,131.22,GEO,,2016
172,2:11.24,,Ireland U18,,IRL,5h2,Banská Bystrica (SVK),2024-07-20,,medley-relay,relays,female,u18,medley-relay,track,131.24,SVK,,2024
172,2:11.24,,Slovenia U18,,SLO,3,Brno (CZE),2016-06-11,,medley-relay,relays,female,u18,medley-relay,track,131.24,CZE,,2016
174,2:11.25,,Italy U18,,ITA,2h2,Donetsk (UKR),2013-07-13,,medley-relay,relays,female,u18,medley-relay,track,131.25,UKR,,2013
175,2:11.26,,Kazakhstan U18,,KAZ,4h3,Ostrava (CZE),2007-07-14,,medley-relay,relays,female,u18,medley-relay,track,131.26,CZE,,2007
175,2:11.26,,Ukraine U18,,UKR,6,Baku (AZE),2019-07-27,,medley-relay,relays,female,u18,medley-relay,track,131.26,AZE,,2019
177,2:11.27,,Italy U18,,ITA,1,"Štadión SNP, Banská Bystrica (SVK)",2022-07-30,,medley-relay,relays,female,u18,medley-relay,track,131.27,SVK,,2022
178,2:11.28,,Czechia U18,,CZE,3h1,Banská Bystrica (SVK),2024-07-20,,medley-relay,relays,female,u18,medley-relay,track,131.28,SVK,,2024
179,2:11.29,,Romania U18,,ROU,3h3,"Sidi Youssef Ben Ali, Marrakech (MAR)",2005-07-16,,medley-relay,relays,female,u18,medley-relay,track,131.29,MAR,,2005
180,2:11.30,,Poland U18,,POL,2,"Štadión SNP, Banská Bystrica (SVK)",2022-07-30,,medley-relay,relays,female,u18,medley-relay,track,131.3,SVK,,2022
181,2:11.34,,Japan U18,,JPN,5f1,Sherbrooke (CAN),2003-07-13,,medley-relay,relays,female,u18,medley-relay,track,131.34,CAN,,2003
182,2:11.36,,Slovenia U18,,SLO,3h1,"Givat Ram Stadium, Jerusalem (ISR)",2022-07-06,,medley-relay,relays,female,u18,medley-relay,track,131.36,ISR,,2022
183,2:11.37,,Barbados U18,,BAR,6f1,Ostrava (CZE),2007-07-15,,medley-relay,relays,female,u18,medley-relay,track,131.37,CZE,,2007
184,2:11.40,,Finland U18,,FIN,3h2,"Atletski stadion Poljane, Maribor (SLO)",2023-07-28,,medley-relay,relays,female,u18,medley-relay,track,131.4,SLO,,2023
185,2:11.41,,Belarus U18,,BLR,5,Debrecen (HUN),2001-07-15,,medley-relay,relays,female,u18,medley-relay,track,131.41,HUN,,2001
185,2:11.41,,Czech Republic U18,,CZE,1,Trnava (SVK),2019-07-13,,medley-relay,relays,female,u18,medley-relay,track,131.41,SVK,,2019
187,2:11.43,,Finland U18,,FIN,6f1,"Givat Ram Stadium, Jerusalem (ISR)",2022-07-07,,medley-relay,relays,female,u18,medley-relay,track,131.43,ISR,,2022
188,2:11.50,,Canada U18,,CAN,6,Debrecen (HUN),2001-07-15,,medley-relay,relays,female,u18,medley-relay,track,131.5,HUN,,2001
189,2:11.51,,Hungary U18,,HUN,2h1,"Olimpiai Sportpark, Győr (HUN)",2018-07-07,,medley-relay,relays,female,u18,medley-relay,track,131.51,HUN,,2018
189,2:11.51,,Estonia U18,,EST,4h1,"Givat Ram Stadium, Jerusalem (ISR)",2022-07-06,,medley-relay,relays,female,u18,medley-relay,track,131.51,ISR,,2022
191,2:11.53,,Croatia U18,,CRO,2h1,"Atletski stadion Poljane, Maribor (SLO)",2023-07-28,,medley-relay,relays,female,u18,medley-relay,track,131.53,SLO,,2023
192,2:11.59,,Hungary U18,,HUN,3,"Štadión SNP, Banská Bystrica (SVK)",2022-07-30,,medley-relay,relays,female,u18,medley-relay,track,131.59,SVK,,2022
193,2:11.66,,New Zealand U18,,NZL,7,Debrecen (HUN),2001-07-15,,medley-relay,relays,female,u18,medley-relay,track,131.66,HUN,,2001
194,2:11.67,,Italy U18,,ITA,3h2,"Bressanone, Trentino-Alto Adige (ITA)",2009-07-11,,medley-relay,relays,female,u18,medley-relay,track,131.67,ITA,,2009
195,2:11.68,,Italy U18,,ITA,3h3,"New District Stadium, Tbilisi (GEO)",2016-07-16,,medley-relay,relays,female,u18,medley-relay,track,131.68,GEO,,2016
196,2:11.70,,Japan U18,,JPN,2h1,Ostrava (CZE),2007-07-14,,medley-relay,relays,female,u18,medley-relay,track,131.7,CZE,,2007
197,2:11.72,,Japan U18,,JPN,4f1,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",1999-07-18,,medley-relay,relays,female,u18,medley-relay,track,131.72,POL,,1999
197,2:11.72,,Czech Republic U18,,CZE,4,"Štadión SNP, Banská Bystrica (SVK)",2022-07-30,,medley-relay,relays,female,u18,medley-relay,track,131.72,SVK,,2022
199,2:11.77,,France U18,,FRA,5h3,Lille (FRA),2011-07-09,,medley-relay,relays,female,u18,medley-relay,track,131.77,FRA,,2011
199,2:11.77,,Slovak Republic U18,,SVK,4,Brno (CZE),2016-06-11,,medley-relay,relays,female,u18,medley-relay,track,131.77,CZE,,2016
201,2:11.79,,Ukraine U18,,UKR,3h1,Ostrava (CZE),2007-07-14,,medley-relay,relays,female,u18,medley-relay,track,131.79,CZE,,2007
201,2:11.79,,Ireland U18,,IRL,4h2,"Atletski stadion Poljane, Maribor (SLO)",2023-07-28,,medley-relay,relays,female,u18,medley-relay,track,131.79,SLO,,2023
203,2:11.84,,Belarus U18,,BLR,2h2,Debrecen (HUN),2001-07-14,,medley-relay,relays,female,u18,medley-relay,track,131.84,HUN,,2001
204,2:11.95,,Slovak Republic U18,,SVK,3h1,"Atletski stadion Poljane, Maribor (SLO)",2023-07-28,,medley-relay,relays,female,u18,medley-relay,track,131.95,SLO,,2023
205,2:11.97,,Croatia U18,,CRO,8,"Atletski stadion Poljane, Maribor (SLO)",2023-07-29,,medley-relay,relays,female,u18,medley-relay,track,131.97,SLO,,2023
205,2:11.97,,Ukraine U18,,UKR,3h1,"Olimpiai Sportpark, Győr (HUN)",2018-07-07,,medley-relay,relays,female,u18,medley-relay,track,131.97,HUN,,2018
207,2:11.99,,Hungary U18,,HUN,4h1,"Atletski stadion Poljane, Maribor (SLO)",2023-07-28,,medley-relay,relays,female,u18,medley-relay,track,131.99,SLO,,2023
208,2:12.00,,Spain U18,,ESP,5h2,Lille (FRA),2011-07-09,,medley-relay,relays,female,u18,medley-relay,track,132.0,FRA,,2011
209,2:12.03,,Türkiye U18,,TUR,5h3,Banská Bystrica (SVK),2024-07-20,,medley-relay,relays,female,u18,medley-relay,track,132.03,SVK,,2024
210,2:12.05,,Hungary U18,,HUN,5h3,Ostrava (CZE),2007-07-14,,medley-relay,relays,female,u18,medley-relay,track,132.05,CZE,,2007
211,2:12.08,,Czech Republic U18,,CZE,1h2,"Olimpiai Sportpark, Győr (HUN)",2018-07-07,,medley-relay,relays,female,u18,medley-relay,track,132.08,HUN,,2018
212,2:12.10,,Norway U18,,NOR,2h2,"New District Stadium, Tbilisi (GEO)",2016-07-16,,medley-relay,relays,female,u18,medley-relay,track,132.1,GEO,,2016
213,2:12.13,,Brazil U18,,BRA,5f1,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",1999-07-18,,medley-relay,relays,female,u18,medley-relay,track,132.13,POL,,1999
213,2:12.13,,Slovenia U18,,SLO,5f1,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",1999-07-18,,medley-relay,relays,female,u18,medley-relay,track,132.13,POL,,1999
215,2:12.17,,Serbia U18,,SRB,5h1,"Givat Ram Stadium, Jerusalem (ISR)",2022-07-06,,medley-relay,relays,female,u18,medley-relay,track,132.17,ISR,,2022
216,2:12.18,,India U18,,IND,1,Al-Kuwait (KUW),2022-10-16,,medley-relay,relays,female,u18,medley-relay,track,132.18,KUW,,2022
217,2:12.19,,Ukraine U18,,UKR,1h1,"New District Stadium, Tbilisi (GEO)",2016-07-16,,medley-relay,relays,female,u18,medley-relay,track,132.19,GEO,,2016
217,2:12.19,,France U18,,FRA,7,Baku (AZE),2019-07-27,,medley-relay,relays,female,u18,medley-relay,track,132.19,AZE,,2019
