rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat,normalized_discipline,track_field,mark_numeric,venue_country,age_at_event,season
14,29:42.56,,Tirunesh DIBABA,1985-10-01,ETH,3,"Estádio Olímpico, Rio de Janeiro (BRA)",2016-08-12,1264,10000-metres,middlelong,female,senior,10000-metres,track,1782.56,BRA,30.0,2016
15,29:47.42,,Grace Loibach NAWOWUNA,2003-11-10,KEN,2,"FBK Stadium, Hengelo (NED)",2023-06-03,1259,10000-metres,middlelong,female,senior,10000-metres,track,1787.42,NED,19.0,2023
16,29:47.71,,Fotyen TESFAY,1998-02-17,ETH,1,"Estadio Enrique Lopez Cuenca, Nerja (ESP)",2024-06-14,1259,10000-metres,middlelong,female,senior,10000-metres,track,1787.71,ESP,26.0,2024
17,29:48.34,,Tsigie GEBRESELAMA,2000-09-30,ETH,1f2,"JSerra Catholic HS, San Juan Capistrano, CA (USA)",2024-03-16,1258,10000-metres,middlelong,female,senior,10000-metres,track,1788.34,USA,23.0,2024
18,29:49.33,,Tsigie GEBRESELAMA,2000-09-30,ETH,2,"Estadio Enrique Lopez Cuenca, Nerja (ESP)",2024-06-14,1257,10000-metres,middlelong,female,senior,10000-metres,track,1789.33,ESP,23.0,2024
19,29:50.52,,Ejgayehu TAYE,2000-02-10,ETH,3,"Estadio Enrique Lopez Cuenca, Nerja (ESP)",2024-06-14,1256,10000-metres,middlelong,female,senior,10000-metres,track,1790.52,ESP,24.0,2024
20,29:50.77,,Kalkidan GEZAHEGNE,1991-05-08,BRN,2,"Estádio José Vieira de Carvalho, Maia (POR)",2021-05-08,1256,10000-metres,middlelong,female,senior,10000-metres,track,1790.77,POR,30.0,2021
21,29:53.51,,Alice Aprot NAWOWUNA,1994-01-02,KEN,4,"Estádio Olímpico, Rio de Janeiro (BRA)",2016-08-12,1254,10000-metres,middlelong,female,senior,10000-metres,track,1793.51,BRA,22.0,2016
22,29:53.80,,Meselech MELKAMU,1985-04-19,ETH,1,Utrecht (NED),2009-06-14,1253,10000-metres,middlelong,female,senior,10000-metres,track,1793.8,NED,24.0,2009
23,29:54.66,,Tirunesh DIBABA,1985-10-01,ETH,1,"National Stadium, Beijing (CHN)",2008-08-15,1252,10000-metres,middlelong,female,senior,10000-metres,track,1794.66,CHN,22.0,2008
24,29:55.32,,Sifan HASSAN,1993-01-01,NED,1,"National Stadium, Tokyo (JPN)",2021-08-07,1252,10000-metres,middlelong,female,senior,10000-metres,track,1795.32,JPN,28.0,2021
25,29:56.18,,Kalkidan GEZAHEGNE,1991-05-08,BRN,2,"National Stadium, Tokyo (JPN)",2021-08-07,1251,10000-metres,middlelong,female,senior,10000-metres,track,1796.18,JPN,30.0,2021
26,29:57.45,,Ejgayehu TAYE,2000-02-10,ETH,2,"Estadio Enrique Lopez Cuenca, Nerja (ESP)",2023-06-23,1250,10000-metres,middlelong,female,senior,10000-metres,track,1797.45,ESP,23.0,2023
27,29:59.03,,Mizan ALEM,2002-01-22,ETH,1,"Parliament Hill Fields Athletics Track, London (GBR)",2023-05-20,1248,10000-metres,middlelong,female,senior,10000-metres,track,1799.03,GBR,21.0,2023
28,29:59.15,,Lemlem HAILU,2001-05-25,ETH,3,"Estadio Enrique Lopez Cuenca, Nerja (ESP)",2023-06-23,1248,10000-metres,middlelong,female,senior,10000-metres,track,1799.15,ESP,22.0,2023
29,29:59.20,,Meseret DEFAR,1983-11-19,ETH,1,Birmingham (GBR),2009-07-11,1248,10000-metres,middlelong,female,senior,10000-metres,track,1799.2,GBR,25.0,2009
30,30:00.86,,Eilish MCCOLGAN,1990-11-25,GBR,1,"JSerra Catholic HS, San Juan Capistrano, CA (USA)",2023-03-04,1247,10000-metres,middlelong,female,senior,10000-metres,track,1800.86,USA,32.0,2023
31,30:01.09,,Paula RADCLIFFE,1973-12-17,GBR,1,"Olympiastadion, München (GER)",2002-08-06,1247,10000-metres,middlelong,female,senior,10000-metres,track,1801.09,GER,28.0,2002
32,30:01.35,,Mizan ALEM,2002-01-22,ETH,4,"Estadio Enrique Lopez Cuenca, Nerja (ESP)",2023-06-23,1246,10000-metres,middlelong,female,senior,10000-metres,track,1801.35,ESP,21.0,2023
33,30:01.72,,Letesenbet GIDEY,1998-03-20,ETH,3,"National Stadium, Tokyo (JPN)",2021-08-07,1246,10000-metres,middlelong,female,senior,10000-metres,track,1801.72,JPN,23.0,2021
34,30:03.82,,Alicia MONSON,1998-05-13,USA,2,"JSerra Catholic HS, San Juan Capistrano, CA (USA)",2023-03-04,1244,10000-metres,middlelong,female,senior,10000-metres,track,1803.82,USA,24.0,2023
35,30:04.18,,Berhane ADERE,1973-11-23,ETH,1,"Stade de France, Paris-St-Denis (FRA)",2003-08-23,1244,10000-metres,middlelong,female,senior,10000-metres,track,1804.18,FRA,29.0,2003
36,30:04.45,,Tsigie GEBRESELAMA,2000-09-30,ETH,3,"FBK Stadium, Hengelo (NED)",2023-06-03,1243,10000-metres,middlelong,female,senior,10000-metres,track,1804.45,NED,22.0,2023
37,30:04.97,,Janeth CHEPNGETICH,1998-07-23,KEN,5,"Hayward Field, Eugene, OR (USA)",2024-05-25,1243,10000-metres,middlelong,female,senior,10000-metres,track,1804.97,USA,25.0,2024
38,30:06.01,,Tsigie GEBRESELAMA,2000-09-30,ETH,2,"FBK Stadium, Hengelo (NED)",2021-06-08,1242,10000-metres,middlelong,female,senior,10000-metres,track,1806.01,NED,20.0,2021
39,30:07.00,,Almaz AYANA,1991-11-21,ETH,1,Hengelo (NED),2016-06-29,1241,10000-metres,middlelong,female,senior,10000-metres,track,1807.0,NED,24.0,2016
40,30:07.15,,Werknesh KIDANE,1981-01-07,ETH,2,"Stade de France, Paris-St-Denis (FRA)",2003-08-23,1241,10000-metres,middlelong,female,senior,10000-metres,track,1807.15,FRA,22.0,2003
41,30:07.20,,Yingjie SUN,1979-01-19,CHN,3,"Stade de France, Paris-St-Denis (FRA)",2003-08-23,1241,10000-metres,middlelong,female,senior,10000-metres,track,1807.2,FRA,24.0,2003
42,30:07.42,,Catherine Reline AMANANG'OLE,2002-10-05,KEN,6,"Hayward Field, Eugene, OR (USA)",2024-05-25,1241,10000-metres,middlelong,female,senior,10000-metres,track,1807.42,USA,21.0,2024
43,30:07.78,,Betsy SAINA,1988-06-30,KEN,5,"Estádio Olímpico, Rio de Janeiro (BRA)",2016-08-12,1240,10000-metres,middlelong,female,senior,10000-metres,track,1807.78,BRA,28.0,2016
44,30:08.06,,Meseret DEFAR,1983-11-19,ETH,1,Sollentuna (SWE),2013-06-27,1240,10000-metres,middlelong,female,senior,10000-metres,track,1808.06,SWE,29.0,2013
45,30:09.05,,Aynadis MEBRATU,2004-11-25,ETH,4,"Estadio Enrique Lopez Cuenca, Nerja (ESP)",2024-06-14,1239,10000-metres,middlelong,female,senior,10000-metres,track,1809.05,ESP,19.0,2024
46,30:09.94,,Letesenbet GIDEY,1998-03-20,ETH,1,"Hayward Field, Eugene, OR (USA)",2022-07-16,1238,10000-metres,middlelong,female,senior,10000-metres,track,1809.94,USA,24.0,2022
47,30:10.02,,Hellen OBIRI,1989-12-13,KEN,2,"Hayward Field, Eugene, OR (USA)",2022-07-16,1238,10000-metres,middlelong,female,senior,10000-metres,track,1810.02,USA,32.0,2022
48,30:10.07,,Margaret Chelimo KIPKEMBOI,1993-02-09,KEN,3,"Hayward Field, Eugene, OR (USA)",2022-07-16,1238,10000-metres,middlelong,female,senior,10000-metres,track,1810.07,USA,29.0,2022
49,30:10.56,,Sifan HASSAN,1993-01-01,NED,4,"Hayward Field, Eugene, OR (USA)",2022-07-16,1238,10000-metres,middlelong,female,senior,10000-metres,track,1810.56,USA,29.0,2022
50,30:11.53,,Florence KIPLAGAT,1987-02-27,KEN,2,Utrecht (NED),2009-06-14,1237,10000-metres,middlelong,female,senior,10000-metres,track,1811.53,NED,22.0,2009
51,30:11.87,,Wude AYALEW,1987-07-04,ETH,3,Utrecht (NED),2009-06-14,1237,10000-metres,middlelong,female,senior,10000-metres,track,1811.87,NED,21.0,2009
52,30:12.15,,Rahel DANIEL,2001-11-16,ERI,5,"Hayward Field, Eugene, OR (USA)",2022-07-16,1236,10000-metres,middlelong,female,senior,10000-metres,track,1812.15,USA,20.0,2022
53,30:12.45,,Ejgayehu TAYE,2000-02-10,ETH,6,"Hayward Field, Eugene, OR (USA)",2022-07-16,1236,10000-metres,middlelong,female,senior,10000-metres,track,1812.45,USA,22.0,2022
54,30:12.53,,Lornah KIPLAGAT,1974-05-01,NED,4,"Stade de France, Paris-St-Denis (FRA)",2003-08-23,1236,10000-metres,middlelong,female,senior,10000-metres,track,1812.53,FRA,29.0,2003
55,30:13.17,,Molly HUDDLE,1984-08-31,USA,6,"Estádio Olímpico, Rio de Janeiro (BRA)",2016-08-12,1235,10000-metres,middlelong,female,senior,10000-metres,track,1813.17,BRA,31.0,2016
56,30:13.37,,Huandi ZHONG,1967-06-28,CHN,2,Beijing (CHN),1993-09-08,1235,10000-metres,middlelong,female,senior,10000-metres,track,1813.37,CHN,26.0,1993
57,30:13.74,,Ingrid KRISTIANSEN,1956-03-21,NOR,1,Oslo (NOR),1986-07-05,1235,10000-metres,middlelong,female,senior,10000-metres,track,1813.74,NOR,30.0,1986
58,30:14.66,,Elise CRANNY,1996-05-09,USA,1,"JSerra Catholic HS, San Juan Capistrano, CA (USA)",2022-03-06,1234,10000-metres,middlelong,female,senior,10000-metres,track,1814.66,USA,25.0,2022
59,30:15.67,,Tirunesh DIBABA,1985-10-01,ETH,1,Sollentuna (SWE),2005-06-28,1233,10000-metres,middlelong,female,senior,10000-metres,track,1815.67,SWE,19.0,2005
60,30:16.32,,Almaz AYANA,1991-11-21,ETH,1,"Olympic Stadium, London (GBR)",2017-08-05,1233,10000-metres,middlelong,female,senior,10000-metres,track,1816.32,GBR,25.0,2017
61,30:17.15,,Paula RADCLIFFE,1973-12-17,GBR,1,Gateshead (GBR),2004-06-27,1232,10000-metres,middlelong,female,senior,10000-metres,track,1817.15,GBR,30.0,2004
62,30:17.49,,Derartu TULU,1972-03-21,ETH,1,"Olympic Stadium, Sydney (AUS)",2000-09-30,1231,10000-metres,middlelong,female,senior,10000-metres,track,1817.49,AUS,28.0,2000
63,30:17.62,,Sifan HASSAN,1993-01-01,NED,1,"Khalifa International Stadium, Doha (QAT)",2019-09-28,1231,10000-metres,middlelong,female,senior,10000-metres,track,1817.62,QAT,26.0,2019
64,30:17.64,,Caroline Chepkoech KIPKIRUI,1994-05-26,KAZ,7,"Hayward Field, Eugene, OR (USA)",2022-07-16,1231,10000-metres,middlelong,female,senior,10000-metres,track,1817.64,USA,28.0,2022
65,30:17.77,,Bosena MULATIE,2001-11-21,ETH,8,"Hayward Field, Eugene, OR (USA)",2022-07-16,1231,10000-metres,middlelong,female,senior,10000-metres,track,1817.77,USA,20.0,2022
66,30:18.05,,Karissa SCHWEIZER,1996-05-04,USA,9,"Hayward Field, Eugene, OR (USA)",2022-07-16,1231,10000-metres,middlelong,female,senior,10000-metres,track,1818.05,USA,26.0,2022
67,30:18.39,,Ejegayehu DIBABA,1982-03-21,ETH,2,Sollentuna (SWE),2005-06-28,1231,10000-metres,middlelong,female,senior,10000-metres,track,1818.39,SWE,23.0,2005
68,30:19.02,,Eilish MCCOLGAN,1990-11-25,GBR,1,"FBK Stadium, Hengelo (NED)",2022-06-06,1230,10000-metres,middlelong,female,senior,10000-metres,track,1819.02,NED,31.0,2022
69,30:19.39,,Werknesh KIDANE,1981-01-07,ETH,1,"Palo Alto, CA (USA)",2005-05-29,1230,10000-metres,middlelong,female,senior,10000-metres,track,1819.39,USA,24.0,2005
70,30:20.44,,Hitomi NIIYA,1988-02-26,JPN,1,"Yanmar Stadium Nagai, Osaka (JPN)",2020-12-04,1229,10000-metres,middlelong,female,senior,10000-metres,track,1820.44,JPN,32.0,2020
71,30:20.75,,Tirunesh DIBABA,1985-10-01,ETH,1,"Olympic Stadium, London (GBR)",2012-08-03,1228,10000-metres,middlelong,female,senior,10000-metres,track,1820.75,GBR,26.0,2012
72,30:20.77,,Yalemzerf YEHUALAW,1999-08-03,ETH,3,"FBK Stadium, Hengelo (NED)",2021-06-08,1228,10000-metres,middlelong,female,senior,10000-metres,track,1820.77,NED,21.0,2021
73,30:20.97,,Pauline KAMULU,1994-12-30,KEN,1,"Athletic Track, Abashiri (JPN)",2022-07-13,1228,10000-metres,middlelong,female,senior,10000-metres,track,1820.97,JPN,27.0,2022
74,30:21.23,,Letesenbet GIDEY,1998-03-20,ETH,2,"Khalifa International Stadium, Doha (QAT)",2019-09-28,1228,10000-metres,middlelong,female,senior,10000-metres,track,1821.23,QAT,21.0,2019
75,30:21.67,,Elvan ABEYLEGESSE,1982-09-11,TUR,1,Antalya (TUR),2006-04-15,1228,10000-metres,middlelong,female,senior,10000-metres,track,1821.67,TUR,23.0,2006
76,30:22.22,,Shalane FLANAGAN,1981-07-08,USA,2,"National Stadium, Beijing (CHN)",2008-08-15,1227,10000-metres,middlelong,female,senior,10000-metres,track,1822.22,CHN,27.0,2008
77,30:22.48,,Gete WAMI,1974-12-11,ETH,2,"Olympic Stadium, Sydney (AUS)",2000-09-30,1227,10000-metres,middlelong,female,senior,10000-metres,track,1822.48,AUS,25.0,2000
78,30:22.77,,Faith CHEPKOECH,2003-05-12,KEN,7,"Hayward Field, Eugene, OR (USA)",2024-05-25,1227,10000-metres,middlelong,female,senior,10000-metres,track,1822.77,USA,21.0,2024
79,30:22.88,,Fernanda RIBEIRO,1969-06-23,POR,3,"Olympic Stadium, Sydney (AUS)",2000-09-30,1226,10000-metres,middlelong,female,senior,10000-metres,track,1822.88,AUS,31.0,2000
80,30:23.07,,Alla ZHILYAYEVA,1969-02-05,RUS,5,"Stade de France, Paris-St-Denis (FRA)",2003-08-23,1226,10000-metres,middlelong,female,senior,10000-metres,track,1823.07,FRA,34.0,2003
81,30:23.25,,Ingrid KRISTIANSEN,1956-03-21,NOR,1,"Neckarstadion, Stuttgart (GER)",1986-08-30,1226,10000-metres,middlelong,female,senior,10000-metres,track,1823.25,GER,30.0,1986
82,30:23.69,,Girmawit GEBRZIHAIR,2001-11-21,ETH,5,"Estadio Enrique Lopez Cuenca, Nerja (ESP)",2023-06-23,1226,10000-metres,middlelong,female,senior,10000-metres,track,1823.69,ESP,21.0,2023
83,30:24.02,,Tirunesh DIBABA,1985-10-01,ETH,1,"Olympiastadion, Helsinki (FIN)",2005-08-06,1225,10000-metres,middlelong,female,senior,10000-metres,track,1824.02,FIN,19.0,2005
84,30:24.04,,Sarah CHELANGAT,2001-06-05,UGA,8,"Hayward Field, Eugene, OR (USA)",2024-05-25,1225,10000-metres,middlelong,female,senior,10000-metres,track,1824.04,USA,22.0,2024
85,30:24.27,,Hellen OBIRI,1989-12-13,KEN,4,"National Stadium, Tokyo (JPN)",2021-08-07,1225,10000-metres,middlelong,female,senior,10000-metres,track,1824.27,JPN,31.0,2021
86,30:24.36,,Huina XING,1984-02-25,CHN,1,"Olympic Stadium, Athina (GRE)",2004-08-27,1225,10000-metres,middlelong,female,senior,10000-metres,track,1824.36,GRE,20.0,2004
87,30:24.39,,Tirunesh DIBABA,1985-10-01,ETH,1,"Hayward Field, Eugene, OR (USA)",2012-06-01,1225,10000-metres,middlelong,female,senior,10000-metres,track,1824.39,USA,26.0,2012
88,30:24.56,,Gete WAMI,1974-12-11,ETH,1,"La Cartuja, Sevilla (ESP)",1999-08-26,1225,10000-metres,middlelong,female,senior,10000-metres,track,1824.56,ESP,24.0,1999
89,30:24.85,,Florence KIPLAGAT,1987-02-27,KEN,2,"Hayward Field, Eugene, OR (USA)",2012-06-01,1225,10000-metres,middlelong,female,senior,10000-metres,track,1824.85,USA,25.0,2012
90,30:24.98,,Ejegayehu DIBABA,1982-03-21,ETH,2,"Olympic Stadium, Athina (GRE)",2004-08-27,1225,10000-metres,middlelong,female,senior,10000-metres,track,1824.98,GRE,22.0,2004
91,30:25.20,,Agnes Jebet TIROP,1995-10-23,KEN,3,"Khalifa International Stadium, Doha (QAT)",2019-09-28,1224,10000-metres,middlelong,female,senior,10000-metres,track,1825.2,QAT,23.0,2019
92,30:25.41,,Berhane ADERE,1973-11-23,ETH,2,"Olympiastadion, Helsinki (FIN)",2005-08-06,1224,10000-metres,middlelong,female,senior,10000-metres,track,1825.41,FIN,31.0,2005
93,30:26.00,,Ejegayehu DIBABA,1982-03-21,ETH,3,"Olympiastadion, Helsinki (FIN)",2005-08-06,1224,10000-metres,middlelong,female,senior,10000-metres,track,1826.0,FIN,23.0,2005
94,30:26.20,,Galina BOGOMOLOVA,1977-10-15,RUS,6,"Stade de France, Paris-St-Denis (FRA)",2003-08-23,1223,10000-metres,middlelong,female,senior,10000-metres,track,1826.2,FRA,25.0,2003
95,30:26.37,,Sally KIPYEGO,1985-12-19,KEN,2,"Olympic Stadium, London (GBR)",2012-08-03,1223,10000-metres,middlelong,female,senior,10000-metres,track,1826.37,GBR,26.0,2012
96,30:26.40,,Selah BUSIENEI,1991-12-27,KEN,4,"FBK Stadium, Hengelo (NED)",2023-06-03,1223,10000-metres,middlelong,female,senior,10000-metres,track,1826.4,NED,31.0,2023
97,30:26.41,,Yasemin CAN,1996-12-11,TUR,7,"Estádio Olímpico, Rio de Janeiro (BRA)",2016-08-12,1223,10000-metres,middlelong,female,senior,10000-metres,track,1826.41,BRA,19.0,2016
98,30:26.42,,Derartu TULU,1972-03-21,ETH,3,"Olympic Stadium, Athina (GRE)",2004-08-27,1223,10000-metres,middlelong,female,senior,10000-metres,track,1826.42,GRE,32.0,2004
99,30:26.50,,Linet Chepkwemoi MASAI,1989-12-05,KEN,3,"National Stadium, Beijing (CHN)",2008-08-15,1223,10000-metres,middlelong,female,senior,10000-metres,track,1826.5,CHN,18.0,2008
1,30:26.50,,Linet Chepkwemoi MASAI,1989-12-05,KEN,3,"National Stadium, Beijing (CHN)",2008-08-15,1223,10000-metres,middlelong,female,u20,10000-metres,track,1826.5,CHN,18.0,2008
100,30:26.66,,Gelete BURKA,1986-01-23,ETH,8,"Estádio Olímpico, Rio de Janeiro (BRA)",2016-08-12,1223,10000-metres,middlelong,female,senior,10000-metres,track,1826.66,BRA,30.0,2016
101,30:26.67,,Tirunesh DIBABA,1985-10-01,ETH,1,"Mestský Stadion, Ostrava (CZE)",2013-06-27,1223,10000-metres,middlelong,female,senior,10000-metres,track,1826.67,CZE,27.0,2013
102,30:26.70,,Belaynesh OLJIRA,1990-06-26,ETH,3,"Hayward Field, Eugene, OR (USA)",2012-06-01,1223,10000-metres,middlelong,female,senior,10000-metres,track,1826.7,USA,21.0,2012
103,30:26.94,,Alice Aprot NAWOWUNA,1994-01-02,KEN,1,Durban (RSA),2016-06-25,1223,10000-metres,middlelong,female,senior,10000-metres,track,1826.94,RSA,22.0,2016
104,30:26.97,,Paula RADCLIFFE,1973-12-17,GBR,4,"Olympic Stadium, Sydney (AUS)",2000-09-30,1223,10000-metres,middlelong,female,senior,10000-metres,track,1826.97,AUS,26.0,2000
105,30:27.13,,Paula RADCLIFFE,1973-12-17,GBR,2,"La Cartuja, Sevilla (ESP)",1999-08-26,1223,10000-metres,middlelong,female,senior,10000-metres,track,1827.13,ESP,25.0,1999
106,30:27.18,,Huina XING,1984-02-25,CHN,4,"Olympiastadion, Helsinki (FIN)",2005-08-06,1223,10000-metres,middlelong,female,senior,10000-metres,track,1827.18,FIN,21.0,2005
107,30:27.30,,Miriam CHEBET,2002-09-18,KEN,9,"Hayward Field, Eugene, OR (USA)",2024-05-25,1222,10000-metres,middlelong,female,senior,10000-metres,track,1827.3,USA,21.0,2024
108,30:27.94,,Betty CHELANGAT,2003-03-07,KEN,5,"FBK Stadium, Hengelo (NED)",2023-06-03,1222,10000-metres,middlelong,female,senior,10000-metres,track,1827.94,NED,20.0,2023
109,30:28.26,,Yingjie SUN,1979-01-19,CHN,1,Busan (KOR),2002-10-08,1222,10000-metres,middlelong,female,senior,10000-metres,track,1828.26,KOR,23.0,2002
110,30:28.30,,Werknesh KIDANE,1981-01-07,ETH,4,"Olympic Stadium, Athina (GRE)",2004-08-27,1222,10000-metres,middlelong,female,senior,10000-metres,track,1828.3,GRE,23.0,2004
111,30:28.47,,Gelete BURKA,1986-01-23,ETH,2,Hengelo (NED),2016-06-29,1221,10000-metres,middlelong,female,senior,10000-metres,track,1828.47,NED,30.0,2016
112,30:28.53,,Tirunesh DIBABA,1985-10-01,ETH,3,Hengelo (NED),2016-06-29,1221,10000-metres,middlelong,female,senior,10000-metres,track,1828.53,NED,30.0,2016
113,30:28.82,,Yenawa NBRET,2007-05-18,ETH,1,"Bislett Stadion, Oslo (NOR)",2025-06-11,1221,10000-metres,middlelong,female,senior,10000-metres,track,1828.82,NOR,18.0,2025
2,30:28.82,,Yenawa NBRET,2007-05-18,ETH,1,"Bislett Stadion, Oslo (NOR)",2025-06-11,1221,10000-metres,middlelong,female,u20,10000-metres,track,1828.82,NOR,18.0,2025
114,30:29.23,,Gladys CHERONO,1983-05-12,KEN,2,"Mestský Stadion, Ostrava (CZE)",2013-06-27,1221,10000-metres,middlelong,female,senior,10000-metres,track,1829.23,CZE,30.0,2013
115,30:29.36,,Liliya SHOBUKHOVA,1977-11-13,RUS,1,Cheboksary (RUS),2009-07-23,1221,10000-metres,middlelong,female,senior,10000-metres,track,1829.36,RUS,31.0,2009
116,30:30.26,,Edith MASAI,1967-04-04,KEN,5,"Olympiastadion, Helsinki (FIN)",2005-08-06,1220,10000-metres,middlelong,female,senior,10000-metres,track,1830.26,FIN,38.0,2005
117,30:30.44,,Vivian Jepkemei CHERUIYOT,1983-09-11,KEN,3,"Olympic Stadium, London (GBR)",2012-08-03,1220,10000-metres,middlelong,female,senior,10000-metres,track,1830.44,GBR,28.0,2012
118,30:31.03,,Mariya KONOVALOVA,1974-08-14,RUS,2,Cheboksary (RUS),2009-07-23,1219,10000-metres,middlelong,female,senior,10000-metres,track,1831.03,RUS,34.0,2009
119,30:31.42,,Inga ABITOVA,1982-03-06,RUS,1,"Ullevi Stadium, Göteborg (SWE)",2006-08-07,1219,10000-metres,middlelong,female,senior,10000-metres,track,1831.42,SWE,24.0,2006
120,30:31.44,,Belaynesh OLJIRA,1990-06-26,ETH,3,"Mestský Stadion, Ostrava (CZE)",2013-06-27,1219,10000-metres,middlelong,female,senior,10000-metres,track,1831.44,CZE,23.0,2013
3,30:31.55,,Huina XING,1984-02-25,CHN,7,"Stade de France, Paris-St-Denis (FRA)",2003-08-23,1219,10000-metres,middlelong,female,u20,10000-metres,track,1831.55,FRA,19.0,2003
121,30:31.55,,Huina XING,1984-02-25,CHN,7,"Stade de France, Paris-St-Denis (FRA)",2003-08-23,1219,10000-metres,middlelong,female,senior,10000-metres,track,1831.55,FRA,19.0,2003
122,30:31.92,,Lornah KIPLAGAT,1974-05-01,NED,5,"Olympic Stadium, Athina (GRE)",2004-08-27,1218,10000-metres,middlelong,female,senior,10000-metres,track,1831.92,GRE,30.0,2004
123,30:32.03,,Tegla LOROUPE,1973-05-09,KEN,3,"La Cartuja, Sevilla (ESP)",1999-08-26,1218,10000-metres,middlelong,female,senior,10000-metres,track,1832.03,ESP,26.0,1999
124,30:32.36,,Susanne WIGENE,1978-02-12,NOR,2,"Ullevi Stadium, Göteborg (SWE)",2006-08-07,1218,10000-metres,middlelong,female,senior,10000-metres,track,1832.36,SWE,28.0,2006
125,30:32.47,,Werknesh KIDANE,1981-01-07,ETH,6,"Olympiastadion, Helsinki (FIN)",2005-08-06,1218,10000-metres,middlelong,female,senior,10000-metres,track,1832.47,FIN,24.0,2005
126,30:32.57,,Yasemin CAN,1996-12-11,TUR,1,"Olympiastadion, München (GER)",2022-08-15,1218,10000-metres,middlelong,female,senior,10000-metres,track,1832.57,GER,25.0,2022
127,30:32.72,,Lidiya GRIGORYEVA,1974-01-21,RUS,3,"Ullevi Stadium, Göteborg (SWE)",2006-08-07,1217,10000-metres,middlelong,female,senior,10000-metres,track,1832.72,SWE,32.0,2006
128,30:32.90,,Miriam CHEBET,2002-09-18,KEN,2,"Bislett Stadion, Oslo (NOR)",2025-06-11,1217,10000-metres,middlelong,female,senior,10000-metres,track,1832.9,NOR,22.0,2025
129,30:33.53,,Yingjie SUN,1979-01-19,CHN,7,"Olympiastadion, Helsinki (FIN)",2005-08-06,1217,10000-metres,middlelong,female,senior,10000-metres,track,1833.53,FIN,26.0,2005
130,30:33.75,,Galina BOGOMOLOVA,1977-10-15,RUS,8,"Olympiastadion, Helsinki (FIN)",2005-08-06,1217,10000-metres,middlelong,female,senior,10000-metres,track,1833.75,FIN,27.0,2005
131,30:33.82,,Weini KELATI FREZGHI,1996-12-01,USA,2f2,"JSerra Catholic HS, San Juan Capistrano, CA (USA)",2024-03-16,1216,10000-metres,middlelong,female,senior,10000-metres,track,1833.82,USA,27.0,2024
