rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat,normalized_discipline,track_field,mark_numeric,venue_country,age_at_event,season
1,28:54.14,,Beatrice CHEBET,2000-03-05,KEN,1,"Hayward Field, Eugene, OR (USA)",2024-05-25,1309,10000-metres,middlelong,female,senior,10000-metres,track,1734.14,USA,24.0,2024
2,29:01.03,,Letesenbet GIDEY,1998-03-20,ETH,1,"FBK Stadium, Hengelo (NED)",2021-06-08,1303,10000-metres,middlelong,female,senior,10000-metres,track,1741.03,NED,23.0,2021
3,29:05.92,,Gudaf TSEGAY,1997-01-23,ETH,2,"Hayward Field, Eugene, OR (USA)",2024-05-25,1298,10000-metres,middlelong,female,senior,10000-metres,track,1745.92,USA,27.0,2024
4,29:06.82,,Sifan HASSAN,1993-01-01,NED,1,"FBK Stadium, Hengelo (NED)",2021-06-06,1297,10000-metres,middlelong,female,senior,10000-metres,track,1746.82,NED,28.0,2021
5,29:17.45,,Almaz AYANA,1991-11-21,ETH,1,"Estádio Olímpico, Rio de Janeiro (BRA)",2016-08-12,1287,10000-metres,middlelong,female,senior,10000-metres,track,1757.45,BRA,24.0,2016
6,29:26.89,,Lilian Kasait RENGERUK,1997-05-03,KEN,3,"Hayward Field, Eugene, OR (USA)",2024-05-25,1278,10000-metres,middlelong,female,senior,10000-metres,track,1766.89,USA,27.0,2024
7,29:27.59,,Margaret Chelimo KIPKEMBOI,1993-02-09,KEN,4,"Hayward Field, Eugene, OR (USA)",2024-05-25,1278,10000-metres,middlelong,female,senior,10000-metres,track,1767.59,USA,31.0,2024
8,29:29.73,,Gudaf TSEGAY,1997-01-23,ETH,1,"Estadio Enrique Lopez Cuenca, Nerja (ESP)",2023-06-23,1276,10000-metres,middlelong,female,senior,10000-metres,track,1769.73,ESP,26.0,2023
9,29:31.78,,Junxia WANG,1973-01-09,CHN,1,Beijing (CHN),1993-09-08,1274,10000-metres,middlelong,female,senior,10000-metres,track,1771.78,CHN,20.0,1993
10,29:32.53,,Vivian Jepkemei CHERUIYOT,1983-09-11,KEN,2,"Estádio Olímpico, Rio de Janeiro (BRA)",2016-08-12,1273,10000-metres,middlelong,female,senior,10000-metres,track,1772.53,BRA,32.0,2016
11,29:36.67,,Sifan HASSAN,1993-01-01,NED,1,"FBK Stadium, Hengelo (NED)",2020-10-10,1269,10000-metres,middlelong,female,senior,10000-metres,track,1776.67,NED,27.0,2020
12,29:37.80,,Sifan HASSAN,1993-01-01,NED,1,"FBK Stadium, Hengelo (NED)",2023-06-03,1268,10000-metres,middlelong,female,senior,10000-metres,track,1777.8,NED,30.0,2023
13,29:39.42,,Gudaf TSEGAY,1997-01-23,ETH,1,"Estádio José Vieira de Carvalho, Maia (POR)",2021-05-08,1267,10000-metres,middlelong,female,senior,10000-metres,track,1779.42,POR,24.0,2021
