rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat
23,35.80,,Abby STEINER,24 NOV 1999,USA,1f1,"Norton Sports Center, Louisville, KY (USA) (i)",11 DEC 2021,1230,300-metres,sprints,female,senior
24,35.81,,Silke-Beate KNOLL,21 FEB 1967,FRG,1,Olpe (GER),19 MAY 1990,1187,300-metres,sprints,female,senior
25,35.82,,Cydonie MOTHERSILL,19 MAR 1978,CAY,1,Sydney (AUS),14 SEP 2000,1187,300-metres,sprints,female,senior
26,35.83,,Merlene OTTEY,10 MAY 1960,JAM,1,"Pocatello, ID (USA) (i)",14 MAR 1981,1229,300-metres,sprints,female,senior
26,35.83,,JaMeesia FORD,26 JAN 2005,USA,1f1,"Clemson Indoor Track & Field Complex, Clemson, SC (USA) (i)",08 DEC 2023,1229,300-metres,sprints,female,senior
28,35.91,,Brittany BROWN,18 APR 1995,USA,2f1,"Mestský Stadion, Ostrava (CZE)",20 JUN 2019,1181,300-metres,sprints,female,senior
29,35.92,,Ana Gabriela GUEVARA,04 MAR 1977,MEX,1,"International Stadium, Gateshead (GBR)",19 AUG 2001,1181,300-metres,sprints,female,senior
29,35.92,,Gabrielle THOMAS,07 DEC 1996,USA,1f2,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",24 JAN 2021,1223,300-metres,sprints,female,senior
31,35.95,,Brittany BROWN,18 APR 1995,USA,1f2,"New York, NY (USA) (i)",23 FEB 2019,1222,300-metres,sprints,female,senior
32,35.96,,Merlene OTTEY,10 MAY 1960,JAM,1sf1,"Pocatello, ID (USA) (i)",13 MAR 1981,1221,300-metres,sprints,female,senior
33,35.98,,Gabrielle THOMAS,07 DEC 1996,USA,2f2,"New York, NY (USA) (i)",23 FEB 2019,1220,300-metres,sprints,female,senior
34,35.99,,Merlene OTTEY,10 MAY 1960,JAM,3,London (GBR),18 AUG 1984,1177,300-metres,sprints,female,senior
34,35.99,,Lynna IRBY,06 DEC 1998,USA,2,"Ocean Breeze Athl. Complex, New York, NY (USA) (i)",13 FEB 2021,1219,300-metres,sprints,female,senior
34,35.99,,Favour OFILI,31 DEC 2002,NGR,2,"The Track at New Balance, Boston, MA (USA) (i)",04 FEB 2024,1219,300-metres,sprints,female,senior
34,35.99,,Natalia KACZMAREK,17 JAN 1998,POL,1,"Stadion BOSiR, Białystok (POL)",31 AUG 2024,1177,300-metres,sprints,female,senior
38,36.00,,Katharine MERRY,21 SEP 1974,GBR,2,Gateshead (GBR),28 AUG 2000,1176,300-metres,sprints,female,senior
38,36.00,,LaTasha COLANDER,23 AUG 1976,USA,3,Gateshead (GBR),28 AUG 2000,1176,300-metres,sprints,female,senior
40,36.01,,Michelle SCUTT,17 JUN 1960,GBR,1,London (GBR),13 JUL 1980,1176,300-metres,sprints,female,senior
41,36.05,,Lynna IRBY-JACKSON,06 DEC 1998,USA,3,"The Track at New Balance, Boston, MA (USA) (i)",04 FEB 2024,1216,300-metres,sprints,female,senior
41,36.05,,Julien ALFRED,10 JUN 2001,LCA,1,"Ansin Sports Complex, Miramar, FL (USA)",05 APR 2025,1173,300-metres,sprints,female,senior
43,36.07,,Jearl MILES-CLARK,04 SEP 1966,USA,2,Sydney (AUS),14 SEP 2000,1172,300-metres,sprints,female,senior
44,36.08,,Cydonie MOTHERSILL,19 MAR 1978,CAY,2,"International Stadium, Gateshead (GBR)",19 AUG 2001,1172,300-metres,sprints,female,senior
44,36.08,,Talitha DIGGS,22 AUG 2002,USA,1f1,"Clemson Indoor Track & Field Complex, Clemson, SC (USA) (i)",31 JAN 2025,1214,300-metres,sprints,female,senior
46,36.10,,Kaltouma NADJINA,16 NOV 1976,CHA,3,"International Stadium, Gateshead (GBR)",19 AUG 2001,1170,300-metres,sprints,female,senior
46,36.10,,Shaunae MILLER,15 APR 1994,BAH,1,"New York, NY (USA) (i)",15 FEB 2014,1213,300-metres,sprints,female,senior
48,36.11,,Ana Gabriela GUEVARA,04 MAR 1977,MEX,1,Ljubljana (SLO),10 AUG 2004,1170,300-metres,sprints,female,senior
49,36.12,,Sydney MCLAUGHLIN,07 AUG 1999,USA,1f1,"Bloomington, IN (USA) (i)",08 DEC 2017,1212,300-metres,sprints,female,senior
49,36.12,,Jaide STEPTER BAYNES,25 SEP 1994,USA,3f1,"Mestský Stadion, Ostrava (CZE)",20 JUN 2019,1169,300-metres,sprints,female,senior
49,36.12,,Jasmine CAMACHO-QUINN,21 AUG 1996,PUR,1f1,"Santa Fe High School Track, Alachua, FL (USA)",05 JUL 2020,1169,300-metres,sprints,female,senior
52,36.13,,Brittany BROWN,18 APR 1995,USA,2,"Armory Track&Field Center, New York, NY (USA) (i)",11 FEB 2023,1212,300-metres,sprints,female,senior
52,36.13,,Shericka JACKSON,16 JUL 1994,JAM,2,"Ansin Sports Complex, Miramar, FL (USA)",05 APR 2025,1169,300-metres,sprints,female,senior
54,36.14,,Quanera HAYES,07 MAR 1992,USA,2f1,"Clemson Indoor Track & Field Complex, Clemson, SC (USA) (i)",31 JAN 2025,1211,300-metres,sprints,female,senior
55,36.15,,Phyllis FRANCIS,04 MAY 1992,USA,1f2,"Albuquerque, NM (USA) (i)",04 MAR 2017,1210,300-metres,sprints,female,senior
56,36.16,,Jessika GBAI,29 DEC 1998,CIV,1f1,"UMiami Cobb Stadium, Coral Gables, FL (USA)",15 MAR 2024,1167,300-metres,sprints,female,senior
56,36.16,,Julien ALFRED,10 JUN 2001,LCA,1,"The Track at New Balance, Boston, MA (USA) (i)",02 FEB 2025,1210,300-metres,sprints,female,senior
58,36.18,,Joanna ATKINS,31 JAN 1989,USA,2f2,"Albuquerque, NM (USA) (i)",04 MAR 2017,1209,300-metres,sprints,female,senior
59,36.20,,Ionela ŢIRLEA-MANOLACHE,09 FEB 1976,ROU,2,Ciudad de México (MEX),03 MAY 2003,1165,300-metres,sprints,female,senior
59,36.20,,Natalia KACZMAREK,17 JAN 1998,POL,1f1,"Hala COS OPO, Spala (POL) (i)",05 FEB 2022,1208,300-metres,sprints,female,senior
61,36.21,,Gabrielle THOMAS,07 DEC 1996,USA,1,"Ocean Breeze Athl. Complex, New York, NY (USA) (i)",06 FEB 2022,1207,300-metres,sprints,female,senior
61,36.21,,Talitha DIGGS,22 AUG 2002,USA,1,"Armory Track&Field Center, New York, NY (USA) (i)",11 FEB 2024,1207,300-metres,sprints,female,senior
63,36.22,,Yelena RUPASOVA,1968,RUS,1,Bad Homburg (GER),24 MAY 1992,1164,300-metres,sprints,female,senior
64,36.24,,Nicky VAN LEUVEREN,20 MAY 1990,NED,1f3,Lisse (NED),07 MAY 2016,1162,300-metres,sprints,female,senior
64,36.24,,Jessika GBAI,29 DEC 1998,CIV,3,"Ansin Sports Complex, Miramar, FL (USA)",05 APR 2025,1162,300-metres,sprints,female,senior
66,36.25,,Fatimat YUSUF,02 MAY 1971,NGR,1,Siderno (ITA),23 SEP 1990,1162,300-metres,sprints,female,senior
66,36.25,,Natasha HASTINGS,23 JUL 1986,USA,1,"Reggie Lewis Center, Boston, MA (USA) (i)",14 FEB 2016,1205,300-metres,sprints,female,senior
66,36.25,,Natalia KACZMAREK,17 JAN 1998,POL,1f1,"Arena, Toruń (POL) (i)",04 FEB 2023,1205,300-metres,sprints,female,senior
69,36.27,,Lea SPRUNGER,05 MAR 1990,SUI,1f1,Langenthal (SUI),05 MAY 2016,1161,300-metres,sprints,female,senior
69,36.27,,Ashley SPENCER,08 JUN 1993,USA,2,"New York, NY (USA) (i)",11 FEB 2017,1204,300-metres,sprints,female,senior
71,36.29,,Iolanda OANTA,11 OCT 1965,ROU,1,Bucureşti (ROU),14 MAY 1989,1160,300-metres,sprints,female,senior
71,36.29,,DeeDee TROTTER,08 DEC 1982,USA,1,"Atlanta, GA (USA)",16 MAY 2014,1160,300-metres,sprints,female,senior
73,36.30,,Manuela LEVORATO,16 MAR 1977,ITA,1,Viareggio (ITA),22 AUG 2000,1159,300-metres,sprints,female,senior
73,36.30,,Olesya KRASNOMOVETS-FORSHEVA,08 JUL 1979,RUS,1,Yekaterinburg (RUS) (i),07 JAN 2006,1202,300-metres,sprints,female,senior
73,36.30,,Brittany BROWN,18 APR 1995,USA,1f1,"Iowa City, IA (USA) (i)",18 JAN 2019,1202,300-metres,sprints,female,senior
73,36.30,,Elise COOPER,07 FEB 2007,USA,1,"Ott Center for Track & Field, Philadelphia, PA (USA) (i)",01 MAR 2025,1202,300-metres,sprints,female,senior
77,36.31,,Gabrielle THOMAS,07 DEC 1996,USA,1,"The Track at New Balance, Boston, MA (USA) (i)",04 FEB 2023,1201,300-metres,sprints,female,senior
78,36.33,,Silke-Beate KNOLL,21 FEB 1967,FRG,1,Wuppertal (GER),01 JUN 1990,1157,300-metres,sprints,female,senior
78,36.33,,Allyson FELIX,18 NOV 1985,USA,1,"Fayetteville, AR (USA) (i)",09 FEB 2007,1200,300-metres,sprints,female,senior
78,36.33,,Amantle MONTSHO,04 JUL 1983,BOT,1f2,Liévin (FRA) (i),05 MAR 2010,1200,300-metres,sprints,female,senior
81,36.34,,Kendra MACKEY,14 JAN 1969,USA,1,Cwmbran (GBR),12 JUL 1992,1157,300-metres,sprints,female,senior
81,36.34,,Jana PITTMAN,09 NOV 1982,AUS,1,Campbelltown (AUS),15 FEB 2003,1157,300-metres,sprints,female,senior
81,36.34,,Anna KIEŁBASIŃSKA,26 JUN 1990,POL,4f1,"Mestský Stadion, Ostrava (CZE)",20 JUN 2019,1157,300-metres,sprints,female,senior
81,36.34,,Anna KIEŁBASIŃSKA,26 JUN 1990,POL,1,"Golęcin Stadion, Poznan (POL)",27 MAY 2022,1157,300-metres,sprints,female,senior
85,36.35,,Susanne GOGL-WALLI,05 MAY 1996,AUT,1,"Pramtalstadion, Andorf (AUT)",17 AUG 2024,1156,300-metres,sprints,female,senior
86,36.36,,Lillie LEATHERWOOD,06 JUL 1964,USA,1,Birmingham (GBR),19 JUL 1986,1156,300-metres,sprints,female,senior
86,36.36,,Grace JACKSON,14 JUN 1961,JAM,1,"Azusa, CA (USA)",24 MAR 1990,1156,300-metres,sprints,female,senior
86,36.36,,Gunta VAIČULE,09 MAR 1995,LAT,1f2,"Mestský Stadion, Ostrava (CZE)",20 JUN 2019,1156,300-metres,sprints,female,senior
86,36.36,,Fiordaliza COFIL,27 OCT 2000,DOM,1,"Estadio Olimpico Juan Pablo Duarte, Santo Domingo (DOM)",01 APR 2023,1156,300-metres,sprints,female,senior
86,36.36,,Shirley NEKHUBUI,31 JUL 2000,RSA,1,"Pilditch Stadium, Pretoria (RSA)",08 FEB 2025,1156,300-metres,sprints,female,senior
91,36.37,,Lillie LEATHERWOOD,06 JUL 1964,USA,1,"Azusa, CA (USA)",11 APR 1992,1155,300-metres,sprints,female,senior
91,36.37,,Amy Mbacké THIAM,10 NOV 1976,SEN,3,Sydney (AUS),14 SEP 2000,1155,300-metres,sprints,female,senior
91,36.37,,Talitha DIGGS,22 AUG 2002,USA,1f1,"Clemson Indoor Track & Field Complex, Clemson, SC (USA) (i)",15 JAN 2022,1198,300-metres,sprints,female,senior
94,36.38,,Antonina KRIVOSHAPKA,21 JUL 1987,RUS,1f2,Moskva (RUS) (i),01 FEB 2009,1197,300-metres,sprints,female,senior
95,36.39,,Grace JACKSON,14 JUN 1961,JAM,2,Birmingham (GBR),19 JUL 1986,1154,300-metres,sprints,female,senior
95,36.39,,Kendall BAISDEN,05 MAR 1995,USA,2,"Houston, TX (USA)",23 JUL 2016,1154,300-metres,sprints,female,senior
97,36.40,,Mireille NGUIMGO,07 NOV 1976,CMR,4,Sydney (AUS),14 SEP 2000,1153,300-metres,sprints,female,senior
97,36.40,,Shaunae MILLER,15 APR 1994,BAH,1f2,"New York, NY (USA) (i)",24 JAN 2014,1196,300-metres,sprints,female,senior
99,36.41,,Bianca KNIGHT,02 JAN 1989,USA,1,"Fayetteville, AR (USA) (i)",12 FEB 2011,1196,300-metres,sprints,female,senior
99,36.41,,Eleni ARTYMATA,16 MAY 1986,CYP,2f2,"Mestský Stadion, Ostrava (CZE)",20 JUN 2019,1153,300-metres,sprints,female,senior
