rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat,normalized_discipline,track_field,mark_numeric,venue_country,age_at_event,season
1,28:46,,Agnes Jebet NGETICH,2001-01-23,KEN,1,Valencia (ESP),2024-01-14,1317.0,10-kilometres,road-running,female,senior,10-kilometres,track,1726.0,ESP,22.0,2024
2,28:57,,Emmaculate Anyango ACHOL,2000-04-02,KEN,2,Valencia (ESP),2024-01-14,1306.0,10-kilometres,road-running,female,senior,10-kilometres,track,1737.0,ESP,23.0,2024
3,29:14,,Yalemzerf YEHUALAW,1999-08-03,ETH,1,Castellón (ESP),2022-02-27,1290.0,10-kilometres,road-running,female,senior,10-kilometres,track,1754.0,ESP,22.0,2022
4,29:19,,Yalemzerf YEHUALAW,1999-08-03,ETH,1,Valencia (ESP),2023-01-15,1286.0,10-kilometres,road-running,female,senior,10-kilometres,track,1759.0,ESP,23.0,2023
5,29:25,,Medina EISA,2005-01-03,ETH,1,Castellón (ESP),2025-02-16,1280.0,10-kilometres,road-running,female,senior,10-kilometres,track,1765.0,ESP,20.0,2025
6,29:26,,Agnes Jebet NGETICH,2001-01-23,KEN,1,Lille (FRA),2023-11-18,1279.0,10-kilometres,road-running,female,senior,10-kilometres,track,1766.0,FRA,22.0,2023
7,29:27,,Agnes Jebet NGETICH,2001-01-23,KEN,1,Herzogenaurach (GER),2025-04-26,1278.0,10-kilometres,road-running,female,senior,10-kilometres,track,1767.0,GER,24.0,2025
8,29:30,,Hellen Ekalale LOBUN,1999-03-18,KEN,1,Valencia (ESP),2025-01-12,1275.0,10-kilometres,road-running,female,senior,10-kilometres,track,1770.0,ESP,25.0,2025
9,29:32,,Lilian Kasait RENGERUK,1997-05-03,KEN,3,Valencia (ESP),2024-01-14,1274.0,10-kilometres,road-running,female,senior,10-kilometres,track,1772.0,ESP,26.0,2024
10,29:34,,Girmawit GEBRZIHAIR,2001-11-21,ETH,2,Valencia (ESP),2025-01-12,1272.0,10-kilometres,road-running,female,senior,10-kilometres,track,1774.0,ESP,23.0,2025
11,29:38,,Kalkidan GEZAHEGNE,1991-05-08,BRN,1,Genève (SUI),2021-10-03,1268.0,10-kilometres,road-running,female,senior,10-kilometres,track,1778.0,SUI,30.0,2021
12,29:40,,Likina AMEBAW,1997-11-30,ETH,2,Castellón (ESP),2025-02-16,1266.0,10-kilometres,road-running,female,senior,10-kilometres,track,1780.0,ESP,27.0,2025
13,29:42,,Fotyen TESFAY,1998-02-17,ETH,3,Valencia (ESP),2025-01-12,1264.0,10-kilometres,road-running,female,senior,10-kilometres,track,1782.0,ESP,26.0,2025
14,29:43,,Asayech AYICHEW,2005-04-03,ETH,4,Valencia (ESP),2025-01-12,1263.0,10-kilometres,road-running,female,senior,10-kilometres,track,1783.0,ESP,19.0,2025
14,29:43,,Joyciline JEPKOSGEI,1993-12-28,KEN,1,Praha (CZE),2017-09-09,1263.0,10-kilometres,road-running,female,senior,10-kilometres,track,1783.0,CZE,23.0,2017
16,29:46,,Sheila CHEPKIRUI,1990-12-27,KEN,1,Valencia (ESP),2020-01-12,1261.0,10-kilometres,road-running,female,senior,10-kilometres,track,1786.0,ESP,29.0,2020
17,29:50,,Rosemary WANJIRU,1994-12-09,KEN,2,Valencia (ESP),2020-01-12,1257.0,10-kilometres,road-running,female,senior,10-kilometres,track,1790.0,ESP,25.0,2020
17,29:50,,Margaret Chelimo KIPKEMBOI,1993-02-09,KEN,1,Valencia (ESP),2021-10-03,1257.0,10-kilometres,road-running,female,senior,10-kilometres,track,1790.0,ESP,28.0,2021
17,29:50,,Faith CHEPKOECH,2003-05-12,KEN,1,Castellón (ESP),2024-02-25,1257.0,10-kilometres,road-running,female,senior,10-kilometres,track,1790.0,ESP,20.0,2024
20,29:51,,Norah JERUTO,1995-10-02,KEN,3,Valencia (ESP),2020-01-12,1256.0,10-kilometres,road-running,female,senior,10-kilometres,track,1791.0,ESP,24.0,2020
21,29:54,,Fotyen TESFAY,1998-02-17,ETH,2,Castellón (ESP),2024-02-25,1253.0,10-kilometres,road-running,female,senior,10-kilometres,track,1794.0,ESP,26.0,2024
22,29:55,,Janeth CHEPNGETICH,1998-07-23,KEN,4,Valencia (ESP),2024-01-14,1252.0,10-kilometres,road-running,female,senior,10-kilometres,track,1795.0,ESP,25.0,2024
