rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat,normalized_discipline,track_field,mark_numeric,venue_country,age_at_event,season
1,12:49,,Berihu AREGAWI,2001-02-28,ETH,1,Barcelona (ESP),2021-12-31,1250.0,5-kilometres,road-running,male,senior,5-kilometres,track,769.0,ESP,20.0,2021
2,12:50,,Yomif KEJELCHA,1997-08-01,ETH,1,Lille (FRA),2023-03-19,1247.0,5-kilometres,road-running,male,senior,5-kilometres,track,770.0,FRA,25.0,2023
3,12:51,,Joshua CHEPTEGEI,1996-09-12,UGA,1,Monaco (MON),2020-02-16,1243.0,5-kilometres,road-running,male,senior,5-kilometres,track,771.0,MON,23.0,2020
4,12:52,,Berihu AREGAWI,2001-02-28,ETH,1,Lille (FRA),2021-11-06,1239.0,5-kilometres,road-running,male,senior,5-kilometres,track,772.0,FRA,20.0,2021
5,12:53,,Yomif KEJELCHA,1997-08-01,ETH,1,Herzogenaurach (GER),2022-04-30,1235.0,5-kilometres,road-running,male,senior,5-kilometres,track,773.0,GER,24.0,2022
6,12:54,,Yomif KEJELCHA,1997-08-01,ETH,1,Herzogenaurach (GER),2025-04-26,1232.0,5-kilometres,road-running,male,senior,5-kilometres,track,774.0,GER,27.0,2025
7,12:55,,Nicholas KIPKORIR,1998-09-29,KEN,2,Herzogenaurach (GER),2022-04-30,1228.0,5-kilometres,road-running,male,senior,5-kilometres,track,775.0,GER,23.0,2022
8,12:57,,Jimmy GRESSIER,1997-05-04,FRA,1,Lille (FRA),2025-03-16,1221.0,5-kilometres,road-running,male,senior,5-kilometres,track,777.0,FRA,27.0,2025
8,12:57,,Santiago CATROFE,1999-02-13,URU,2,Lille (FRA),2025-03-16,1221.0,5-kilometres,road-running,male,senior,5-kilometres,track,777.0,FRA,26.0,2025
10,12:58,,Kuma GIRMA,2005-11-24,ETH,2,Al Khobar (KSA),2024-12-14,1217.0,5-kilometres,road-running,male,senior,5-kilometres,track,778.0,KSA,19.0,2024
10,12:58,,Hagos GEBRHIWET,1994-05-11,ETH,1,Al Khobar (KSA),2024-12-14,1217.0,5-kilometres,road-running,male,senior,5-kilometres,track,778.0,KSA,30.0,2024
12,12:59,,Berihu AREGAWI,2001-02-28,ETH,1,"Sechseläutenplatz, Zürich (SUI)",2021-09-08,1215.0,5-kilometres,road-running,male,senior,5-kilometres,track,779.0,SUI,20.0,2021
13,12:59,,Hagos GEBRHIWET,1994-05-11,ETH,1f1,Riga (LAT),2023-10-01,1213.0,5-kilometres,road-running,male,senior,5-kilometres,track,779.0,LAT,29.0,2023
15,13:00,,Harbert KIBET,2005-06-17,UGA,1,"Meijijingu Gaien area, Tokyo (JPN)",2025-05-03,1210.0,5-kilometres,road-running,male,senior,5-kilometres,track,780.0,JPN,19.0,2025
14,13:00,,Sammy KIPKETER,1981-09-29,KEN,1,"Carlsbad, CA (USA)",2000-03-26,1211.0,5-kilometres,road-running,male,senior,5-kilometres,track,780.0,USA,18.0,2000
15,13:00,,Sammy KIPKETER,1981-09-29,KEN,1,"Carlsbad, CA (USA)",2001-04-01,1210.0,5-kilometres,road-running,male,senior,5-kilometres,track,780.0,USA,19.0,2001
15,13:00,,Nicholas KIPKORIR,1998-09-29,KEN,1,"Sechseläutenplatz, Zürich (SUI)",2022-09-07,1210.0,5-kilometres,road-running,male,senior,5-kilometres,track,780.0,SUI,23.0,2022
15,13:00,,Dominic Lokinyomo LOBALU,1998-08-16,SSD,2,"Sechseläutenplatz, Zürich (SUI)",2022-09-07,1210.0,5-kilometres,road-running,male,senior,5-kilometres,track,780.0,SUI,24.0,2022
15,13:00,,Yomif KEJELCHA,1997-08-01,ETH,1,"Adi-Dassler-Straße 1, Herzogenaurach (GER)",2024-04-27,1210.0,5-kilometres,road-running,male,senior,5-kilometres,track,780.0,GER,26.0,2024
15,13:00,,Yann SCHRUB,1996-03-20,FRA,3,Lille (FRA),2025-03-16,1210.0,5-kilometres,road-running,male,senior,5-kilometres,track,780.0,FRA,29.0,2025
21,13:01,,Mezgebu SIME,2005-10-07,ETH,3,Al Khobar (KSA),2024-12-14,1206.0,5-kilometres,road-running,male,senior,5-kilometres,track,781.0,KSA,19.0,2024
21,13:01,,Grant FISHER,1997-04-22,USA,3,"Sechseläutenplatz, Zürich (SUI)",2022-09-07,1206.0,5-kilometres,road-running,male,senior,5-kilometres,track,781.0,SUI,25.0,2022
23,13:02,,Birhanu BALEW,1996-02-27,BRN,2,"Sechseläutenplatz, Zürich (SUI)",2021-09-08,1205.0,5-kilometres,road-running,male,senior,5-kilometres,track,782.0,SUI,25.0,2021
24,13:02,,Jacob KROP,2001-06-04,KEN,3,"Sechseläutenplatz, Zürich (SUI)",2021-09-08,1203.0,5-kilometres,road-running,male,senior,5-kilometres,track,782.0,SUI,20.0,2021
25,13:02,,Levy KIBET,2003-10-15,KEN,3,Herzogenaurach (GER),2022-04-30,1202.0,5-kilometres,road-running,male,senior,5-kilometres,track,782.0,GER,18.0,2022
25,13:02,,Yomif KEJELCHA,1997-08-01,ETH,2f1,Riga (LAT),2023-10-01,1202.0,5-kilometres,road-running,male,senior,5-kilometres,track,782.0,LAT,26.0,2023
27,13:03,,Nicholas KIPKORIR,1998-09-29,KEN,4,"Sechseläutenplatz, Zürich (SUI)",2021-09-08,1201.0,5-kilometres,road-running,male,senior,5-kilometres,track,783.0,SUI,22.0,2021
28,13:03,,Telahun Haile BEKELE,1999-05-13,ETH,4,"Sechseläutenplatz, Zürich (SUI)",2022-09-07,1199.0,5-kilometres,road-running,male,senior,5-kilometres,track,783.0,SUI,23.0,2022
28,13:03,,Andrew Kiptoo ALAMISI,2007-08-28,KEN,2,Herzogenaurach (GER),2025-04-26,1199.0,5-kilometres,road-running,male,senior,5-kilometres,track,783.0,GER,17.0,2025
30,13:04,,Addisu YIHUNE,2003-03-17,ETH,4,Lille (FRA),2025-03-16,1195.0,5-kilometres,road-running,male,senior,5-kilometres,track,784.0,FRA,22.0,2025
30,13:04,,Biniam MEHARY,2006-12-20,ETH,1,Al Khobar (KSA),2023-12-09,1195.0,5-kilometres,road-running,male,senior,5-kilometres,track,784.0,KSA,16.0,2023
30,13:04,,Berihu AREGAWI,2001-02-28,ETH,5,"Sechseläutenplatz, Zürich (SUI)",2022-09-07,1195.0,5-kilometres,road-running,male,senior,5-kilometres,track,784.0,SUI,21.0,2022
30,13:04,,Reynold CHERUIYOT,2004-07-30,KEN,2,Lille (FRA),2023-03-19,1195.0,5-kilometres,road-running,male,senior,5-kilometres,track,784.0,FRA,18.0,2023
34,13:05,,Yomif KEJELCHA,1997-08-01,ETH,5,"Sechseläutenplatz, Zürich (SUI)",2021-09-08,1194.0,5-kilometres,road-running,male,senior,5-kilometres,track,785.0,SUI,24.0,2021
35,13:05,,Birhanu BALEW,1996-02-27,BRN,2,Al Khobar (KSA),2023-12-09,1191.0,5-kilometres,road-running,male,senior,5-kilometres,track,785.0,KSA,27.0,2023
35,13:05,,Addisu YIHUNE,2003-03-17,ETH,2,"Adi-Dassler-Straße 1, Herzogenaurach (GER)",2024-04-27,1191.0,5-kilometres,road-running,male,senior,5-kilometres,track,785.0,GER,21.0,2024
35,13:05,,Andreas ALMGREN,1995-06-12,SWE,1,"Marienlyst Stadion, Drammen (NOR)",2025-04-05,1191.0,5-kilometres,road-running,male,senior,5-kilometres,track,785.0,NOR,29.0,2025
38,13:06,,Andrew Kiptoo ALAMISI,2007-08-28,KEN,4,Al Khobar (KSA),2024-12-14,1188.0,5-kilometres,road-running,male,senior,5-kilometres,track,786.0,KSA,17.0,2024
38,13:06,,Jacob KROP,2001-06-04,KEN,1,Herzogenaurach (GER),2021-09-12,1188.0,5-kilometres,road-running,male,senior,5-kilometres,track,786.0,GER,20.0,2021
