rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat,normalized_discipline,track_field,mark_numeric,venue_country,age_at_event,season
1,5.56,,Donovan BAILEY,1967-12-16,CAN,1,"Reno, NV (USA) (i)",1996-02-09,1269.0,50-metres,sprints,male,senior,50-metres,track,5.56,USA,28.0,1996
1,5.56,,Maurice GREENE,1974-07-23,USA,1,"Los Angeles, CA (USA) (i)",1999-02-13,1269.0,50-metres,sprints,male,senior,50-metres,track,5.56,USA,24.0,1999
3,5.6,,Michael GREEN,1970-11-07,JAM,,Liévin (FRA) (i),1997-02-16,1241.0,50-metres,sprints,male,senior,50-metres,track,5.6,FRA,26.0,1997
4,5.61,,James SANFORD,1957-12-27,USA,1,"San Diego, CA (USA) (i)",1981-02-20,1234.0,50-metres,sprints,male,senior,50-metres,track,5.61,USA,23.0,1981
4,5.61,,Deji ALIU,1975-11-22,NGR,,Liévin (FRA) (i),1999-02-21,1234.0,50-metres,sprints,male,senior,50-metres,track,5.61,FRA,23.0,1999
4,5.61,,Freddy MAYOLA,1977-11-01,CUB,,Madrid (ESP) (i),2000-02-16,1234.0,50-metres,sprints,male,senior,50-metres,track,5.61,ESP,22.0,2000
4,5.61,,Jason GARDENER,1975-09-17,GBR,,Madrid (ESP) (i),2000-02-16,1234.0,50-metres,sprints,male,senior,50-metres,track,5.61,ESP,24.0,2000
8,5.62,,Morne NAGEL,1978-03-23,RSA,,Liévin (FRA) (i),2002-02-24,1227.0,50-metres,sprints,male,senior,50-metres,track,5.62,FRA,23.0,2002
8,5.62,,Andre CASON,1969-01-20,USA,1,"Los Angeles, CA (USA) (i)",1992-02-15,1227.0,50-metres,sprints,male,senior,50-metres,track,5.62,USA,23.0,1992
8,5.62,,Emmit KING,1959-03-24,USA,1,Kobe (JPN) (i),1986-03-05,1227.0,50-metres,sprints,male,senior,50-metres,track,5.62,JPN,26.0,1986
11,5.63,,Stanley FLOYD,1961-06-23,USA,2,"San Diego, CA (USA) (i)",1981-02-20,1220.0,50-metres,sprints,male,senior,50-metres,track,5.63,USA,19.0,1981
11,5.63,,Henry NEAL,1970-10-28,USA,1,"Reno, NV (USA) (i)",1995-02-10,1220.0,50-metres,sprints,male,senior,50-metres,track,5.63,USA,24.0,1995
11,5.63,,Jon DRUMMOND,1968-09-09,USA,2,"Los Angeles, CA (USA) (i)",1999-02-13,1220.0,50-metres,sprints,male,senior,50-metres,track,5.63,USA,30.0,1999
11,5.63,,Pascal MANCINI,1989-04-18,SUI,1f4,"Salle du Centre Mondial du Cyclisme, Aigle (SUI) (i)",2023-01-21,1220.0,50-metres,sprints,male,senior,50-metres,track,5.63,SUI,33.0,2023
11,5.63,,Ronnie BAKER,1993-10-15,USA,,"Atletická hala, Ostrava (CZE) (i)",2025-02-04,1220.0,50-metres,sprints,male,senior,50-metres,track,5.63,CZE,31.0,2025
16,5.64,,Asafa POWELL,1982-11-23,JAM,1,"MSG, New York, NY (USA) (i)",2012-01-28,1214.0,50-metres,sprints,male,senior,50-metres,track,5.64,USA,29.0,2012
16,5.64,,Jeff LAYNES,1970-10-03,USA,1,"Los Angeles, CA (USA) (i)",2001-01-20,1214.0,50-metres,sprints,male,senior,50-metres,track,5.64,USA,30.0,2001
16,5.64,,Gerald WILLIAMS,1978-02-24,USA,1,"Los Angeles, CA (USA) (i)",2000-02-19,1214.0,50-metres,sprints,male,senior,50-metres,track,5.64,USA,22.0,2000
16,5.64,,Davidson EZINWA,1971-11-22,NGR,2,"Los Angeles, CA (USA) (i)",1992-02-15,1214.0,50-metres,sprints,male,senior,50-metres,track,5.64,USA,20.0,1992
16,5.64,,Bruny SURIN,1967-07-12,CAN,1,Moskva (RUS) (i),1995-01-27,1214.0,50-metres,sprints,male,senior,50-metres,track,5.64,RUS,27.0,1995
16,5.64,,Aleksandr PORKHOMOVSKIY,1972-08-12,RUS,1,Moskva (RUS) (i),1994-02-04,1214.0,50-metres,sprints,male,senior,50-metres,track,5.64,RUS,21.0,1994
16,5.64,,Ato BOLDON,1973-12-30,TTO,,Madrid (ESP) (i),2000-02-16,1214.0,50-metres,sprints,male,senior,50-metres,track,5.64,ESP,26.0,2000
23,5.65,,Marian WORONIN,1956-08-13,POL,1,"Palais des Sports, Grenoble (FRA) (i)",1981-02-21,1207.0,50-metres,sprints,male,senior,50-metres,track,5.65,FRA,24.0,1981
23,5.65,,Stéphane CALI,1972-04-26,FRA,,Eaubonne (FRA) (i),1998-02-20,1207.0,50-metres,sprints,male,senior,50-metres,track,5.65,FRA,25.0,1998
25,5.66,,Jason GARDENER,1975-09-17,GBR,,Liévin (FRA) (i),1999-02-21,1200.0,50-metres,sprints,male,senior,50-metres,track,5.66,FRA,23.0,1999
26,5.67,,Ronald POGNON,1982-11-16,FRA,,Liévin (FRA) (i),2005-02-19,1193.0,50-metres,sprints,male,senior,50-metres,track,5.67,FRA,22.0,2005
26,5.67,,Reynier MENA,1996-11-21,CUB,,"Atletická hala, Ostrava (CZE) (i)",2025-02-04,1193.0,50-metres,sprints,male,senior,50-metres,track,5.67,CZE,28.0,2025
26,5.67,,Blake SMITH,1993-05-28,USA,1,Saskatoon (CAN) (i),2018-01-26,1193.0,50-metres,sprints,male,senior,50-metres,track,5.67,CAN,24.0,2018
26,5.67,,Nesta CARTER,1985-10-11,JAM,2,"MSG, New York, NY (USA) (i)",2012-01-28,1193.0,50-metres,sprints,male,senior,50-metres,track,5.67,USA,26.0,2012
26,5.67,,Sam EFFAH,1988-12-29,CAN,1,Saskatoon (CAN) (i),2011-02-03,1193.0,50-metres,sprints,male,senior,50-metres,track,5.67,CAN,22.0,2011
26,5.67,,Venancio JOSÉ,1976-04-19,ESP,,Madrid (ESP) (i),2001-03-14,1193.0,50-metres,sprints,male,senior,50-metres,track,5.67,ESP,24.0,2001
26,5.67,,Jon DRUMMOND,1968-09-09,USA,1,Hamilton (CAN) (i),1992-01-10,1193.0,50-metres,sprints,male,senior,50-metres,track,5.67,CAN,23.0,1992
26,5.67,,Jeff LAYNES,1970-10-03,USA,2,"Los Angeles, CA (USA) (i)",2000-02-19,1193.0,50-metres,sprints,male,senior,50-metres,track,5.67,USA,29.0,2000
26,5.67,,Tim HARDEN,1974-01-27,USA,3,"Los Angeles, CA (USA) (i)",1999-02-13,1193.0,50-metres,sprints,male,senior,50-metres,track,5.67,USA,25.0,1999
26,5.67,,Robert ESMIE,1972-07-05,CAN,1f2,"Los Angeles, CA (USA) (i)",1994-02-19,1193.0,50-metres,sprints,male,senior,50-metres,track,5.67,USA,21.0,1994
26,5.67,,Bruny SURIN,1967-07-12,CAN,1,Hamilton (CAN) (i),1993-01-15,1193.0,50-metres,sprints,male,senior,50-metres,track,5.67,CAN,25.0,1993
