rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat,normalized_discipline,track_field,mark_numeric,venue_country,age_at_event,season
1,3:26.00,,Hicham EL GUERROUJ,1974-09-14,MAR,1,"Stadio Olimpico, Roma (ITA)",1998-07-14,1302.0,1500-metres,middlelong,male,senior,1500-metres,track,206.0,ITA,23.0,1998
2,3:26.12,,Hicham EL GUERROUJ,1974-09-14,MAR,1,Bruxelles (BEL),2001-08-24,1301.0,1500-metres,middlelong,male,senior,1500-metres,track,206.12,BEL,26.0,2001
3,3:26.34,,Bernard LAGAT,1974-12-12,KEN,2,Bruxelles (BEL),2001-08-24,1297.0,1500-metres,middlelong,male,senior,1500-metres,track,206.34,BEL,26.0,2001
4,3:26.45,,Hicham EL GUERROUJ,1974-09-14,MAR,1f1,Zürich (SUI),1998-08-12,1296.0,1500-metres,middlelong,male,senior,1500-metres,track,206.45,SUI,23.0,1998
5,3:26.69,,Asbel KIPROP,1989-06-30,KEN,1,"Stade Louis II, Monaco (MON)",2015-07-17,1292.0,1500-metres,middlelong,male,senior,1500-metres,track,206.69,MON,26.0,2015
6,3:26.73,,Jakob INGEBRIGTSEN,2000-09-19,NOR,1,"Stade Louis II, Monaco (MON)",2024-07-12,1292.0,1500-metres,middlelong,male,senior,1500-metres,track,206.73,MON,23.0,2024
7,3:26.89,,Hicham EL GUERROUJ,1974-09-14,MAR,1,Zürich (SUI),2002-08-16,1289.0,1500-metres,middlelong,male,senior,1500-metres,track,206.89,SUI,27.0,2002
8,3:26.96,,Hicham EL GUERROUJ,1974-09-14,MAR,1,Rieti (ITA),2002-09-08,1288.0,1500-metres,middlelong,male,senior,1500-metres,track,206.96,ITA,28.0,2002
9,3:27.14,,Jakob INGEBRIGTSEN,2000-09-19,NOR,1,"Stadion Śląski, Chorzów (POL)",2023-07-16,1286.0,1500-metres,middlelong,male,senior,1500-metres,track,207.14,POL,22.0,2023
10,3:27.21,,Hicham EL GUERROUJ,1974-09-14,MAR,1f1,Zürich (SUI),2000-08-11,1285.0,1500-metres,middlelong,male,senior,1500-metres,track,207.21,SUI,25.0,2000
11,3:27.34,,Hicham EL GUERROUJ,1974-09-14,MAR,1,"Stade Louis II, Monaco (MON)",2002-07-19,1283.0,1500-metres,middlelong,male,senior,1500-metres,track,207.34,MON,27.0,2002
12,3:27.37,,Noureddine MORCELI,1970-02-28,ALG,1,Nice (FRA),1995-07-12,1282.0,1500-metres,middlelong,male,senior,1500-metres,track,207.37,FRA,25.0,1995
13,3:27.40,,Bernard LAGAT,1974-12-12,KEN,1,Zürich (SUI),2004-08-06,1282.0,1500-metres,middlelong,male,senior,1500-metres,track,207.4,SUI,29.0,2004
14,3:27.49,,Azeddine HABZ,1993-07-19,FRA,1,"Stade Charléty, Paris (FRA)",2025-06-20,1281.0,1500-metres,middlelong,male,senior,1500-metres,track,207.49,FRA,31.0,2025
15,3:27.52,,Noureddine MORCELI,1970-02-28,ALG,1,"Stade Louis II, Monaco (MON)",1995-07-25,1280.0,1500-metres,middlelong,male,senior,1500-metres,track,207.52,MON,25.0,1995
16,3:27.64,,Silas KIPLAGAT,1989-08-20,KEN,1,"Stade Louis II, Monaco (MON)",2014-07-18,1279.0,1500-metres,middlelong,male,senior,1500-metres,track,207.64,MON,24.0,2014
16,3:27.64,,Hicham EL GUERROUJ,1974-09-14,MAR,2,Zürich (SUI),2004-08-06,1279.0,1500-metres,middlelong,male,senior,1500-metres,track,207.64,SUI,29.0,2004
18,3:27.65,,Cole HOCKER,2001-06-06,USA,1,"Stade de France, Paris (FRA)",2024-08-06,1278.0,1500-metres,middlelong,male,senior,1500-metres,track,207.65,FRA,23.0,2024
18,3:27.65,,Hicham EL GUERROUJ,1974-09-14,MAR,1,"La Cartuja, Sevilla (ESP)",1999-08-24,1278.0,1500-metres,middlelong,male,senior,1500-metres,track,207.65,ESP,24.0,1999
1,3:27.72,,Phanuel Kipkosgei KOECH,2006-12-01,KEN,2,"Stade Charléty, Paris (FRA)",2025-06-20,1277.0,1500-metres,middlelong,male,u20,1500-metres,track,207.72,FRA,18.0,2025
20,3:27.72,,Asbel KIPROP,1989-06-30,KEN,1,"Stade Louis II, Monaco (MON)",2013-07-19,1277.0,1500-metres,middlelong,male,senior,1500-metres,track,207.72,MON,24.0,2013
20,3:27.72,,Phanuel Kipkosgei KOECH,2006-12-01,KEN,2,"Stade Charléty, Paris (FRA)",2025-06-20,1277.0,1500-metres,middlelong,male,senior,1500-metres,track,207.72,FRA,18.0,2025
22,3:27.79,,Josh KERR,1997-10-08,GBR,2,"Stade de France, Paris (FRA)",2024-08-06,1276.0,1500-metres,middlelong,male,senior,1500-metres,track,207.79,FRA,26.0,2024
23,3:27.80,,Yared NUGUSE,1999-06-01,USA,3,"Stade de France, Paris (FRA)",2024-08-06,1276.0,1500-metres,middlelong,male,senior,1500-metres,track,207.8,FRA,25.0,2024
24,3:27.83,,Jakob INGEBRIGTSEN,2000-09-19,NOR,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",2024-08-22,1276.0,1500-metres,middlelong,male,senior,1500-metres,track,207.83,SUI,23.0,2024
25,3:27.91,,Bernard LAGAT,1974-12-12,KEN,2,"Stade Louis II, Monaco (MON)",2002-07-19,1275.0,1500-metres,middlelong,male,senior,1500-metres,track,207.91,MON,27.0,2002
26,3:27.95,,Jakob INGEBRIGTSEN,2000-09-19,NOR,1,"Bislett Stadion, Oslo (NOR)",2023-06-15,1274.0,1500-metres,middlelong,male,senior,1500-metres,track,207.95,NOR,22.0,2023
27,3:28.12,,Noah NGENY,1978-11-02,KEN,2f1,Zürich (SUI),2000-08-11,1272.0,1500-metres,middlelong,male,senior,1500-metres,track,208.12,SUI,21.0,2000
28,3:28.24,,Jakob INGEBRIGTSEN,2000-09-19,NOR,4,"Stade de France, Paris (FRA)",2024-08-06,1270.0,1500-metres,middlelong,male,senior,1500-metres,track,208.24,FRA,23.0,2024
29,3:28.28,,Timothy CHERUIYOT,1995-11-20,KEN,1,"Stade Louis II, Monaco (MON)",2021-07-09,1269.0,1500-metres,middlelong,male,senior,1500-metres,track,208.28,MON,25.0,2021
30,3:28.32,,Jakob INGEBRIGTSEN,2000-09-19,NOR,1,"National Stadium, Tokyo (JPN)",2021-08-07,1269.0,1500-metres,middlelong,male,senior,1500-metres,track,208.32,JPN,20.0,2021
31,3:28.36,,George MILLS,1999-05-12,GBR,3,"Stade Charléty, Paris (FRA)",2025-06-20,1268.0,1500-metres,middlelong,male,senior,1500-metres,track,208.36,FRA,26.0,2025
32,3:28.37,,Noureddine MORCELI,1970-02-28,ALG,1,"Stade Louis II, Monaco (MON)",1995-09-09,1268.0,1500-metres,middlelong,male,senior,1500-metres,track,208.37,MON,25.0,1995
32,3:28.37,,Hicham EL GUERROUJ,1974-09-14,MAR,1,"Stade Louis II, Monaco (MON)",1998-08-08,1268.0,1500-metres,middlelong,male,senior,1500-metres,track,208.37,MON,23.0,1998
34,3:28.38,,Hicham EL GUERROUJ,1974-09-14,MAR,1,"Stade de France, Paris-St-Denis (FRA)",2001-07-06,1268.0,1500-metres,middlelong,male,senior,1500-metres,track,208.38,FRA,26.0,2001
35,3:28.40,,Hicham EL GUERROUJ,1974-09-14,MAR,1,"Boudewijnstadion, Bruxelles (BEL)",2003-09-05,1268.0,1500-metres,middlelong,male,senior,1500-metres,track,208.4,BEL,28.0,2003
36,3:28.41,,Timothy CHERUIYOT,1995-11-20,KEN,1,"Stade Louis II, Monaco (MON)",2018-07-20,1267.0,1500-metres,middlelong,male,senior,1500-metres,track,208.41,MON,22.0,2018
37,3:28.45,,Asbel KIPROP,1989-06-30,KEN,2,"Stade Louis II, Monaco (MON)",2014-07-18,1267.0,1500-metres,middlelong,male,senior,1500-metres,track,208.45,MON,25.0,2014
37,3:28.45,,Timothy CHERUIYOT,1995-11-20,KEN,1,"Stade Louis II, Monaco (MON)",2020-08-14,1267.0,1500-metres,middlelong,male,senior,1500-metres,track,208.45,MON,24.0,2020
39,3:28.51,,Bernard LAGAT,1974-12-12,KEN,3f1,Zürich (SUI),2000-08-11,1266.0,1500-metres,middlelong,male,senior,1500-metres,track,208.51,SUI,25.0,2000
40,3:28.57,,Hicham EL GUERROUJ,1974-09-14,MAR,1f1,Zürich (SUI),1999-08-11,1265.0,1500-metres,middlelong,male,senior,1500-metres,track,208.57,SUI,24.0,1999
41,3:28.68,,Jakob INGEBRIGTSEN,2000-09-19,NOR,2,"Stade Louis II, Monaco (MON)",2020-08-14,1264.0,1500-metres,middlelong,male,senior,1500-metres,track,208.68,MON,19.0,2020
